Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-AR-A0TR	0	8	0	3	0	7	0	0	4	5	5	2	8	0	0
BRCA_TCGA-AR-A0TS	1	10	3	0	0	0	7	0	0	2	12	13	30	9	3
BRCA_TCGA-AR-A0TT	0	6	8	5	2	0	0	0	6	1	14	13	18	0	2
BRCA_TCGA-AR-A0TU	5	0	6	0	19	1	0	0	1	3	3	11	35	5	1
BRCA_TCGA-AR-A0TV	1	10	0	1	12	8	0	0	4	0	12	6	16	9	0
BRCA_TCGA-AR-A0TW	3	9	1	4	14	5	0	0	0	5	0	4	15	7	0
BRCA_TCGA-AR-A0TX	1	4	2	34	2	4	0	0	3	0	11	337	9	0	0
BRCA_TCGA-AR-A0TZ	4	4	3	8	8	3	0	2	0	3	0	22	5	5	0
BRCA_TCGA-AR-A0U0	3	4	1	2	0	5	0	1	1	0	6	11	7	7	2
BRCA_TCGA-AR-A0U1	3	3	1	1	0	0	2	0	11	10	4	13	45	14	2
BRCA_TCGA-AR-A0U2	0	5	12	2	7	2	1	0	0	2	4	0	11	10	0
BRCA_TCGA-AR-A0U3	3	3	8	3	1	2	2	0	0	0	6	0	8	4	0
BRCA_TCGA-AR-A0U4	9	8	2	3	0	7	5	0	6	2	9	55	67	24	4
BRCA_TCGA-AR-A1AH	8	1	11	1	8	2	6	0	14	2	2	9	23	29	4
BRCA_TCGA-AR-A1AI	1	3	6	8	9	6	1	0	3	3	15	17	13	4	0
BRCA_TCGA-AR-A1AJ	0	4	1	3	11	2	0	2	0	4	1	23	2	0	0
BRCA_TCGA-AR-A1AK	1	4	3	6	8	0	0	0	1	2	9	32	4	12	0
BRCA_TCGA-AR-A1AL	0	3	2	1	0	0	0	1	1	7	3	7	3	2	0
BRCA_TCGA-AR-A1AN	0	4	3	2	10	0	0	0	0	1	0	4	6	1	0
BRCA_TCGA-AR-A1AO	1	3	4	7	14	2	0	1	2	3	5	26	39	10	5
BRCA_TCGA-AR-A1AP	1	8	5	4	8	0	0	0	2	0	6	11	4	1	1
BRCA_TCGA-AR-A1AQ	0	8	1	0	0	9	0	0	0	7	2	4	8	2	0
BRCA_TCGA-AR-A1AR	2	5	7	0	2	0	0	0	0	2	9	8	13	11	4
BRCA_TCGA-AR-A1AS	1	0	7	4	2	4	0	2	0	0	2	12	6	1	0
