Samples	SBS96A	SBS96B	SBS96C
PMS1_0_multinomial_train1.5	8.76E-02	6.40E-02	6.44E-02
PMS1_0_multinomial_train1.6	8.56E-02	5.97E-02	7.12E-02
PMS1_0_multinomial_train1.7	8.93E-02	5.12E-02	6.76E-02
MSH6_1_multinomial_train1.5	3.38E-03	1.12E-02	2.00E-03
MLH1_0_multinomial_train1.2	0.00E+00	9.75E-03	0.00E+00
PMS1_0_multinomial_train1.8	7.85E-02	7.17E-02	6.06E-02
PMS1_0_multinomial_train1.9	8.36E-02	7.73E-02	7.52E-02
MLH1_0_multinomial_train1.3	0.00E+00	1.04E-02	0.00E+00
MSH2_0_multinomial_train1.1	5.49E-03	1.25E-02	1.92E-03
MSH6_1_multinomial_train1.6	1.88E-03	1.06E-02	8.80E-04
MSH2_0_multinomial_train1.2	1.92E-03	1.09E-02	5.01E-04
PMS1_0_multinomial_train1.10	7.99E-02	4.09E-02	6.22E-02
MSH6_0_multinomial_train1.3	2.64E-03	1.09E-02	2.52E-31
MLH1_0_multinomial_train1.4	0.00E+00	1.04E-02	0.00E+00
MSH2_0_multinomial_train1.3	4.26E-03	1.21E-02	7.78E-56
MSH6_1_multinomial_train1.7	3.29E-03	1.09E-02	4.82E-51
MLH1_0_multinomial_train1.5	0.00E+00	1.07E-02	0.00E+00
MLH1_0_multinomial_train1.6	0.00E+00	1.14E-02	0.00E+00
MLH1_0_multinomial_train1.7	0.00E+00	9.89E-03	0.00E+00
MSH6_1_multinomial_train1.8	1.93E-03	1.01E-02	2.17E-03
PMS1_0_multinomial_train1.11	7.83E-02	5.35E-02	6.17E-02
PMS1_0_multinomial_train1.12	1.04E-01	4.90E-02	7.46E-02
MSH2_0_multinomial_train1.4	3.76E-03	1.18E-02	0.00E+00
PMS2_0_multinomial_train1.1	2.83E-02	2.98E-02	2.81E-99
MLH1_0_multinomial_train1.8	0.00E+00	1.02E-02	0.00E+00
PMS1_0_multinomial_train1.13	1.07E-01	4.88E-02	8.21E-02
MSH6_1_multinomial_train1.9	5.76E-03	1.17E-02	2.13E-03
MSH2_0_multinomial_train1.5	3.09E-03	1.11E-02	1.80E-32
MLH1_0_multinomial_train1.9	7.72E-48	1.17E-02	0.00E+00
MSH6_0_multinomial_train1.4	3.11E-03	1.06E-02	4.02E-129
PMS2_0_multinomial_train1.2	2.97E-02	3.01E-02	1.16E-117
MLH1_0_multinomial_train1.10	0.00E+00	1.03E-02	0.00E+00
MSH6_0_multinomial_train1.5	3.84E-03	1.07E-02	5.02E-63
PMS2_0_multinomial_train1.3	3.02E-02	2.99E-02	3.70E-102
MSH2_0_multinomial_train1.6	4.45E-03	1.16E-02	7.34E-53
MSH2_0_multinomial_train1.7	1.71E-03	1.12E-02	1.56E-03
MLH1_0_multinomial_train1.11	0.00E+00	1.01E-02	0.00E+00
MSH6_1_multinomial_train1.10	2.33E-03	1.04E-02	1.87E-03
PMS2_0_multinomial_train1.4	3.15E-02	3.01E-02	8.88E-89
MSH6_1_multinomial_train1.11	4.60E-03	1.09E-02	8.91E-04
