Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
BRCA_TCGA-AC-A5XS	15	0	0	56	2	0	1	3	0	1	0	0	201	435	1	0
BRCA_TCGA-AC-A5XU	1	13	19	3	9	0	3	5	1	0	3	0	23	10	23	0
BRCA_TCGA-AC-A62V	6	22	12	4	14	2	0	1	0	3	14	0	6	8	14	0
BRCA_TCGA-AC-A62X	6	10	22	2	19	0	0	2	0	2	9	0	3	3	7	2
BRCA_TCGA-AC-A62Y	0	2	12	3	1	4	0	0	3	7	3	8	8	27	8	3
BRCA_TCGA-AC-A6IV	0	0	3	4	0	2	0	2	1	1	6	0	1	0	7	0
BRCA_TCGA-AC-A6IW	0	13	8	7	23	1	2	2	0	8	31	0	16	84	32	4
BRCA_TCGA-AC-A6IX	0	4	6	2	0	1	0	0	3	6	6	0	18	24	1	0
BRCA_TCGA-AC-A6NO	0	1	9	2	0	4	0	0	3	4	0	0	7	1	12	0
BRCA_TCGA-AC-A7VB	0	5	8	1	0	2	1	0	0	4	7	0	1	0	6	0
BRCA_TCGA-AC-A7VC	0	2	5	3	0	3	0	0	2	1	3	0	1	0	6	0
BRCA_TCGA-AC-A8OP	9	12	23	14	20	14	7	14	5	11	10	20	13	24	46	2
BRCA_TCGA-AC-A8OQ	1	8	20	10	0	5	1	1	7	0	7	8	15	16	32	6
BRCA_TCGA-AC-A8OR	0	5	2	0	5	1	0	0	0	0	5	7	0	1	5	1
BRCA_TCGA-AC-A8OS	0	0	10	2	0	4	1	0	5	7	7	0	11	14	13	5
BRCA_TCGA-AN-A0XL	3	0	5	2	5	0	0	4	1	3	4	0	6	0	7	0
BRCA_TCGA-AN-A0XN	6	7	4	4	0	11	0	6	16	7	12	5	3	17	67	10
BRCA_TCGA-AN-A0XO	0	3	2	6	0	0	0	0	5	5	0	0	9	7	6	0
BRCA_TCGA-AN-A0XP	1	2	2	1	6	1	0	0	6	0	2	3	0	7	1	2
BRCA_TCGA-AN-A0XR	0	0	5	0	2	4	0	0	0	0	6	1	2	6	12	0
BRCA_TCGA-AN-A0XS	0	1	2	3	2	4	1	0	0	0	4	1	0	6	8	0
BRCA_TCGA-AN-A0XT	0	1	7	1	0	2	0	0	1	0	6	3	0	1	0	0
BRCA_TCGA-AN-A0XU	11	0	9	4	0	7	1	4	2	11	17	4	0	21	46	0
BRCA_TCGA-AN-A0XV	0	7	2	4	6	1	0	0	3	2	3	1	0	6	9	0
BRCA_TCGA-AN-A0XW	5	3	3	12	0	0	1	1	0	0	3	3	39	351	0	2
BRCA_TCGA-AO-A03M	17	0	3	61	0	0	0	1	0	2	0	0	161	905	0	0
BRCA_TCGA-AO-A03N	4	4	8	8	0	5	2	6	0	0	0	0	32	59	6	0
BRCA_TCGA-AO-A03U	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0
BRCA_TCGA-AO-A03V	1	0	5	4	7	3	3	0	0	1	3	4	15	12	12	2
BRCA_TCGA-AO-A0JG	3	0	0	0	0	0	0	2	2	2	0	1	4	1	4	2
BRCA_TCGA-AO-A124	7	4	6	6	13	10	4	0	0	15	15	2	10	8	73	5
BRCA_TCGA-AO-A125	1	1	7	4	8	3	0	4	0	1	10	0	0	4	2	0
BRCA_TCGA-AO-A126	0	0	6	2	0	1	0	0	0	3	0	1	0	3	9	0
BRCA_TCGA-AO-A128	0	137	228	36	91	103	0	122	125	298	7	3	16	23	0	21
BRCA_TCGA-AO-A129	2	3	9	2	0	5	1	5	6	9	4	13	6	33	39	7
BRCA_TCGA-AO-A12A	0	3	3	0	3	0	0	0	0	1	2	0	2	4	1	0
BRCA_TCGA-AO-A12B	0	0	6	0	6	0	3	2	0	1	0	0	0	1	4	0
BRCA_TCGA-AO-A12D	0	0	7	9	0	0	1	0	0	1	5	0	21	21	8	0
BRCA_TCGA-AO-A12E	0	4	6	2	4	0	0	0	0	2	2	0	4	1	8	0
BRCA_TCGA-AO-A12F	1	9	3	2	11	0	6	0	0	0	3	2	0	0	3	0
BRCA_TCGA-AO-A12G	0	0	10	1	0	5	0	0	7	0	0	0	6	6	7	0
BRCA_TCGA-AO-A12H	0	0	8	2	0	3	0	0	2	3	0	0	5	0	7	0
BRCA_TCGA-AO-A1KO	0	0	0	1	1	2	0	0	1	2	0	0	0	0	3	0
BRCA_TCGA-AO-A1KR	1	0	4	3	17	6	0	0	0	9	6	1	0	13	29	0
BRCA_TCGA-AO-A1KT	0	2	6	3	8	2	0	2	8	4	2	0	1	3	10	0
BRCA_TCGA-AQ-A04H	3	9	24	5	0	3	0	0	8	0	6	0	0	6	15	2
BRCA_TCGA-AQ-A0Y5	0	5	12	6	1	0	0	2	3	2	2	0	5	19	12	1
BRCA_TCGA-AQ-A1H2	0	3	6	3	0	3	0	0	2	3	0	0	2	2	7	3
BRCA_TCGA-AQ-A1H3	0	1	14	0	6	0	0	0	0	0	4	0	0	0	0	2
BRCA_TCGA-AQ-A54O	1	1	2	0	4	3	0	0	0	2	2	0	0	3	5	2
BRCA_TCGA-AQ-A7U7	0	5	4	8	0	5	0	0	0	3	0	0	12	51	5	3
BRCA_TCGA-AR-A0TP	0	0	2	1	0	7	0	0	4	8	2	9	1	8	27	2
BRCA_TCGA-AR-A0TQ	1	1	4	2	7	2	0	0	0	1	0	1	14	8	7	1
BRCA_TCGA-AR-A0TR	0	0	3	3	18	4	0	0	0	6	3	0	4	1	0	0
BRCA_TCGA-AR-A0TS	1	4	4	0	16	0	0	6	0	3	12	2	3	13	23	3
BRCA_TCGA-AR-A0TT	0	8	6	5	3	1	0	0	7	1	15	0	6	13	8	2
BRCA_TCGA-AR-A0TU	6	6	7	1	0	4	0	0	4	1	5	11	0	14	29	2
BRCA_TCGA-AR-A0TV	2	0	15	2	0	9	0	0	6	1	12	1	7	5	19	0
BRCA_TCGA-AR-A0TW	4	2	13	4	0	6	0	1	1	5	0	5	2	4	20	0
BRCA_TCGA-AR-A0TX	1	1	3	34	0	0	0	0	2	1	2	2	67	294	0	0
BRCA_TCGA-AR-A0TZ	4	4	6	8	0	4	3	0	0	3	0	4	2	22	7	0
BRCA_TCGA-AR-A0U0	3	2	1	2	7	4	3	0	0	0	7	0	1	9	9	2
BRCA_TCGA-AR-A0U1	3	1	0	1	16	0	0	1	7	12	4	6	5	13	38	2
BRCA_TCGA-AR-A0U2	0	12	6	2	1	4	1	1	0	2	5	3	2	0	17	0
BRCA_TCGA-AR-A0U3	3	8	3	3	0	3	0	2	1	0	3	0	5	0	9	0
BRCA_TCGA-AR-A0U4	10	2	0	5	27	4	0	5	1	5	16	0	5	58	59	4
BRCA_TCGA-AR-A1AH	9	10	4	2	0	3	0	5	17	1	5	5	0	11	43	5
BRCA_TCGA-AR-A1AI	1	6	7	8	0	7	0	3	5	1	14	0	6	18	13	0
BRCA_TCGA-AR-A1AJ	0	1	10	4	0	3	0	0	1	4	0	0	10	20	0	0
