Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-AQ-A1H3	0	3	0	9	0	6	0	0	0	1	0	2	0	0	0	0	2	0	3	0	1
BRCA_TCGA-AQ-A54O	1	2	0	3	0	0	0	0	3	0	1	0	1	0	3	3	2	0	0	3	3
BRCA_TCGA-AQ-A7U7	0	4	8	0	4	7	0	0	3	0	2	2	11	0	43	0	2	3	0	4	3
BRCA_TCGA-AR-A0TP	0	0	1	1	0	5	2	0	6	2	6	1	2	6	6	0	1	0	20	8	4
BRCA_TCGA-AR-A0TQ	1	2	2	5	3	0	0	0	2	0	0	0	11	2	7	5	1	1	1	3	3
BRCA_TCGA-AR-A0TR	0	2	3	7	3	0	0	0	4	1	5	2	3	1	1	1	0	0	4	0	5
BRCA_TCGA-AR-A0TS	1	5	0	9	0	0	5	0	2	0	3	9	4	4	10	0	2	2	22	6	6
BRCA_TCGA-AR-A0TT	0	6	4	5	2	3	0	0	2	5	1	11	5	1	11	0	2	0	8	1	8
BRCA_TCGA-AR-A0TU	5	5	1	0	0	13	1	0	4	2	1	5	0	5	10	3	1	0	31	3	0
BRCA_TCGA-AR-A0TV	1	2	1	10	3	9	0	0	6	2	1	9	6	1	4	0	0	1	15	7	1
BRCA_TCGA-AR-A0TW	4	4	4	6	1	10	1	0	4	0	3	0	2	3	3	3	0	0	10	7	2
BRCA_TCGA-AR-A0TX	2	2	32	5	1	1	0	0	5	0	0	4	69	1	276	0	0	0	6	3	0
BRCA_TCGA-AR-A0TZ	4	3	7	3	1	6	0	2	4	0	2	0	2	2	20	0	0	3	2	2	4
BRCA_TCGA-AR-A0U0	3	2	2	4	1	0	0	2	5	1	0	5	1	0	7	0	2	2	6	6	1
BRCA_TCGA-AR-A0U1	3	2	1	2	2	0	0	1	0	7	7	2	5	6	10	10	2	3	33	10	3
BRCA_TCGA-AR-A0U2	0	6	2	4	4	5	2	0	3	0	2	4	2	3	0	0	0	2	4	8	5
BRCA_TCGA-AR-A0U3	2	6	3	3	1	0	2	0	5	1	0	2	4	0	0	0	0	0	3	6	2
BRCA_TCGA-AR-A0U4	8	4	3	5	0	0	2	0	9	4	2	11	8	0	46	7	4	14	63	8	3
BRCA_TCGA-AR-A1AH	7	7	1	0	9	7	5	0	0	9	2	3	0	2	9	5	4	12	25	10	3
BRCA_TCGA-AR-A1AI	1	5	7	2	3	10	1	0	5	3	1	13	4	0	18	8	0	0	6	2	0
BRCA_TCGA-AR-A1AJ	0	2	4	3	0	10	0	0	3	0	2	0	9	0	18	0	0	0	0	0	2
BRCA_TCGA-AR-A1AK	1	3	5	3	0	7	0	0	0	1	0	7	9	0	28	0	0	9	4	4	1
BRCA_TCGA-AR-A1AL	0	2	1	3	0	0	0	0	1	1	5	1	4	1	5	1	0	0	0	4	1
BRCA_TCGA-AR-A1AN	0	3	2	2	0	10	0	0	2	1	0	0	2	0	3	0	0	0	3	3	0
BRCA_TCGA-AR-A1AO	1	4	6	3	0	6	0	3	4	2	3	2	10	9	19	3	4	0	35	8	0
BRCA_TCGA-AR-A1AP	1	5	4	7	3	7	0	0	0	1	0	2	8	0	7	0	1	0	2	3	0
BRCA_TCGA-AR-A1AQ	0	3	1	6	1	0	0	0	7	0	5	1	2	0	2	6	0	0	6	1	0
BRCA_TCGA-AR-A1AR	2	6	0	3	0	3	0	0	0	2	0	7	1	2	8	4	4	0	4	13	4
BRCA_TCGA-AR-A1AS	1	4	3	0	2	2	0	0	4	0	0	0	8	0	9	0	0	0	2	3	3
BRCA_TCGA-AR-A1AT	0	2	1	4	1	0	0	2	1	0	2	3	0	2	2	6	0	0	6	0	0
BRCA_TCGA-AR-A1AU	0	3	0	2	0	6	0	0	0	1	2	0	5	0	0	0	0	0	5	2	0
