Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-B6-A0RV	0	8	0	0	3	0	0	0	0	56	0
BRCA_TCGA-B6-A0WS	2	2	5	0	0	0	5	0	0	4	0
BRCA_TCGA-B6-A0WT	3	8	0	0	5	0	6	0	0	0	0
BRCA_TCGA-B6-A0WV	0	0	0	3	0	15	0	0	10	5	4
BRCA_TCGA-B6-A0WW	2	8	0	0	3	0	6	0	16	12	0
BRCA_TCGA-B6-A0WX	2	11	0	0	3	0	9	0	20	0	0
BRCA_TCGA-B6-A0WY	0	3	0	8	4	0	0	0	12	8	0
BRCA_TCGA-B6-A0WZ	0	0	0	0	8	14	0	0	0	73	0
BRCA_TCGA-B6-A0X0	2	2	0	0	2	4	0	0	13	2	0
BRCA_TCGA-B6-A0X1	0	0	9	0	8	17	11	0	28	19	0
BRCA_TCGA-B6-A0X4	4	2	0	0	7	9	0	0	0	0	0
BRCA_TCGA-B6-A0X5	8	0	0	3	10	0	7	0	15	5	0
BRCA_TCGA-B6-A0X7	0	6	0	0	2	9	0	0	0	6	0
BRCA_TCGA-B6-A1KN	8	0	0	8	0	25	0	0	26	5	0
BRCA_TCGA-B6-A2IU	0	0	0	11	12	16	0	0	0	15	0
BRCA_TCGA-B6-A401	0	0	0	7	3	9	0	0	9	0	0
BRCA_TCGA-B6-A409	0	12	0	0	3	12	0	0	22	7	0
BRCA_TCGA-B6-A40B	0	0	0	8	0	21	0	0	19	18	0
BRCA_TCGA-B6-A40C	4	16	0	0	0	14	0	0	15	5	0
BRCA_TCGA-BH-A0AU	0	5	0	2	0	0	0	2	10	4	0
BRCA_TCGA-BH-A0AV	0	0	11	5	3	15	0	0	37	16	0
BRCA_TCGA-BH-A0AY	2	6	0	0	6	8	0	0	18	6	0
BRCA_TCGA-BH-A0AZ	0	0	10	0	0	0	0	0	31	23	6
BRCA_TCGA-BH-A0B0	0	0	0	8	18	0	0	0	0	73	0
BRCA_TCGA-BH-A0B3	0	5	0	0	0	0	0	3	7	3	0
BRCA_TCGA-BH-A0B6	0	0	0	0	99	99	0	0	0	1092	0
BRCA_TCGA-BH-A0B7	0	7	0	4	7	8	0	0	0	10	6
BRCA_TCGA-BH-A0B8	0	0	0	3	1	12	0	0	13	5	0
BRCA_TCGA-BH-A0BA	0	5	5	2	0	0	0	0	8	9	0
BRCA_TCGA-BH-A0BC	0	7	0	4	3	8	0	0	11	12	0
BRCA_TCGA-BH-A0BF	0	7	7	0	1	0	0	0	11	7	0
BRCA_TCGA-BH-A0BG	0	4	0	4	0	0	0	0	27	10	0
BRCA_TCGA-BH-A0BJ	0	0	0	2	2	3	0	0	10	0	0
BRCA_TCGA-BH-A0BL	4	12	0	0	4	0	0	0	49	0	0
BRCA_TCGA-BH-A0BM	2	0	0	1	0	7	0	0	6	3	0
BRCA_TCGA-BH-A0BO	0	7	16	0	2	0	0	0	0	6	0
BRCA_TCGA-BH-A0BP	0	15	0	9	17	37	0	0	67	51	0
BRCA_TCGA-BH-A0BQ	2	7	6	0	1	0	0	0	11	3	0
BRCA_TCGA-BH-A0BS	0	2	0	0	0	11	0	0	10	0	0
BRCA_TCGA-BH-A0BT	0	5	0	9	4	10	0	0	14	6	0
BRCA_TCGA-BH-A0BV	0	0	0	2	2	15	0	0	0	5	0
BRCA_TCGA-BH-A0BW	0	13	24	0	0	0	0	0	47	19	0
BRCA_TCGA-BH-A0BZ	19	0	20	24	0	28	0	0	160	45	0
BRCA_TCGA-BH-A0C0	0	4	11	0	2	0	0	7	18	6	0
BRCA_TCGA-BH-A0C1	0	0	0	16	2	24	0	0	0	8	0
BRCA_TCGA-BH-A0C3	0	3	0	0	0	3	5	0	7	0	0
BRCA_TCGA-BH-A0C7	0	16	12	0	0	0	0	0	25	5	0
BRCA_TCGA-BH-A0DD	0	10	0	6	3	0	0	0	10	8	0
BRCA_TCGA-BH-A0DE	2	0	0	0	2	16	0	0	13	0	0
BRCA_TCGA-BH-A0DG	0	0	11	0	9	0	0	0	12	15	0
BRCA_TCGA-BH-A0DH	0	14	10	0	3	9	0	0	0	16	0
BRCA_TCGA-BH-A0DI	0	10	0	4	0	0	0	0	23	25	0
BRCA_TCGA-BH-A0DK	4	9	0	0	0	0	7	0	25	8	0
BRCA_TCGA-BH-A0DL	0	14	0	9	0	0	0	0	15	21	6
BRCA_TCGA-BH-A0DO	0	0	0	6	4	4	0	0	10	6	0
BRCA_TCGA-BH-A0DP	0	0	0	0	1	7	0	0	7	4	0
BRCA_TCGA-BH-A0DQ	0	7	0	0	0	12	7	0	9	0	0
BRCA_TCGA-BH-A0DT	0	4	0	0	0	7	0	0	0	4	0
BRCA_TCGA-BH-A0DV	0	0	0	0	0	3	3	0	6	3	0
BRCA_TCGA-BH-A0DX	0	10	0	0	4	0	0	0	21	42	0
BRCA_TCGA-BH-A0DZ	0	0	0	0	19	0	0	0	0	198	0
BRCA_TCGA-BH-A0E0	0	10	0	0	2	7	0	0	0	0	5
BRCA_TCGA-BH-A0E1	0	8	0	0	4	0	0	0	0	7	0
BRCA_TCGA-BH-A0E9	0	9	0	4	0	11	0	4	0	0	0
BRCA_TCGA-BH-A0EA	0	0	0	7	4	8	0	0	10	3	0
BRCA_TCGA-BH-A0EI	0	7	0	0	0	12	5	0	0	0	0
BRCA_TCGA-BH-A0H3	0	2	0	0	0	6	0	0	9	0	0
BRCA_TCGA-BH-A0H5	8	0	0	0	19	14	0	0	0	128	0
BRCA_TCGA-BH-A0H7	0	5	0	0	0	0	4	3	0	5	0
BRCA_TCGA-BH-A0H9	0	0	0	2	1	0	0	0	11	4	5
BRCA_TCGA-BH-A0HA	0	109	77	24	0	0	130	0	0	42	0
BRCA_TCGA-BH-A0HI	4	6	0	0	2	12	4	0	0	7	0
BRCA_TCGA-BH-A0HK	0	0	0	9	7	16	0	0	0	31	0
BRCA_TCGA-BH-A0HN	0	9	0	0	4	5	0	0	11	5	0
BRCA_TCGA-BH-A0HP	0	0	0	0	25	0	0	0	0	332	0
BRCA_TCGA-BH-A0RX	0	23	0	0	7	14	0	0	0	5	0
BRCA_TCGA-BH-A0W3	1	2	0	0	0	7	0	0	10	3	0
