Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V
BRCA_TCGA-A7-A3RF	0	2	0	5	0	0	0	1	2	1	1	2	4	0	2	0	11	0	3	2	3	1
BRCA_TCGA-A7-A425	0	3	0	6	0	1	0	0	0	1	1	5	0	3	0	0	3	0	1	2	1	6
BRCA_TCGA-A7-A4SC	1	4	3	0	0	6	0	1	0	0	2	1	1	3	0	0	0	1	2	1	10	2
BRCA_TCGA-A7-A4SD	0	4	4	8	0	10	1	0	7	5	0	3	0	0	2	0	1	4	4	2	5	2
BRCA_TCGA-A7-A4SE	2	1	1	4	5	1	2	4	12	7	0	2	6	7	34	2	0	2	38	0	6	10
BRCA_TCGA-A7-A56D	6	10	13	9	1	9	0	4	10	0	0	0	2	42	70	13	7	0	13	0	5	11
BRCA_TCGA-A7-A5ZV	3	9	7	8	6	20	2	0	3	6	16	13	14	5	32	0	9	13	79	2	10	11
BRCA_TCGA-A7-A5ZW	1	2	3	5	1	0	0	0	0	1	5	0	2	0	10	4	0	0	0	2	0	0
BRCA_TCGA-A7-A5ZX	1	2	4	1	1	2	0	0	1	2	1	2	0	7	1	0	2	3	8	0	3	1
BRCA_TCGA-A7-A6VV	0	2	1	7	0	6	3	0	3	0	5	0	13	2	9	0	0	0	9	0	4	0
BRCA_TCGA-A7-A6VW	0	0	3	6	0	2	2	0	3	5	4	5	13	1	7	5	6	2	14	1	2	11
BRCA_TCGA-A7-A6VX	0	2	3	5	4	2	0	4	6	1	7	13	10	22	23	12	9	6	25	3	14	6
BRCA_TCGA-A7-A6VY	2	3	4	3	8	5	1	2	5	5	5	3	8	10	14	0	2	0	49	1	3	3
BRCA_TCGA-A8-A075	1	3	2	5	1	3	0	1	0	0	3	2	10	17	16	4	1	1	19	0	3	8
BRCA_TCGA-AC-A23C	5	6	5	3	1	4	0	2	9	6	3	0	1	22	34	7	10	1	9	0	7	10
BRCA_TCGA-AC-A23E	1	2	2	2	0	5	0	0	1	0	1	0	2	0	0	0	0	0	7	0	1	0
BRCA_TCGA-AC-A23H	28	10	271	1	0	26	0	148	37	0	0	0	0	1022	3967	485	0	0	0	261	0	122
BRCA_TCGA-AC-A2B8	0	0	6	4	2	4	0	3	3	0	0	0	0	28	57	7	2	0	3	6	3	0
BRCA_TCGA-AC-A2BK	0	11	4	3	4	11	1	0	2	7	4	5	7	0	3	0	0	0	38	7	1	2
BRCA_TCGA-AC-A2BM	0	2	1	1	4	2	0	0	1	0	0	1	1	0	2	0	0	4	2	2	0	3
BRCA_TCGA-AC-A2FB	0	1	0	1	0	1	0	0	0	2	1	0	4	3	1	1	0	0	0	0	0	2
BRCA_TCGA-AC-A2FF	0	0	0	1	0	0	0	0	0	0	0	2	0	4	2	0	1	0	1	0	0	0
BRCA_TCGA-AC-A2FG	0	1	3	6	1	0	0	1	4	1	0	2	0	4	5	1	3	0	0	0	3	4
