Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-AO-A1KO	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	6	0
BRCA_TCGA-AO-A1KR	1	0	3	3	12	6	0	0	1	0	3	8	2	11	0	23	16
BRCA_TCGA-AO-A1KT	0	2	3	5	8	2	1	0	0	8	0	4	1	2	0	11	4
BRCA_TCGA-AQ-A04H	3	10	4	20	4	4	1	0	0	7	0	0	6	6	2	5	9
BRCA_TCGA-AQ-A0Y5	0	5	6	10	7	0	2	0	0	3	1	1	2	18	1	10	4
BRCA_TCGA-AQ-A1H2	0	3	3	6	1	3	0	0	0	1	0	2	1	2	2	8	2
BRCA_TCGA-AQ-A1H3	0	2	0	10	8	0	0	0	0	1	0	0	2	0	2	2	0
BRCA_TCGA-AQ-A54O	1	1	0	1	9	3	0	0	0	0	0	1	0	3	2	0	4
BRCA_TCGA-AQ-A7U7	0	4	8	4	0	2	0	0	0	0	12	2	2	55	2	0	5
BRCA_TCGA-AR-A0TP	0	0	1	2	0	6	0	0	6	2	1	7	3	7	2	22	12
BRCA_TCGA-AR-A0TQ	1	0	2	1	14	0	0	0	2	0	10	0	2	10	0	1	6
BRCA_TCGA-AR-A0TR	0	0	3	1	19	4	0	0	0	1	4	5	1	1	0	3	0
BRCA_TCGA-AR-A0TS	0	4	0	2	17	0	4	0	5	0	0	3	9	11	2	25	8
BRCA_TCGA-AR-A0TT	0	7	4	5	4	2	0	0	0	6	2	2	14	12	2	14	1
BRCA_TCGA-AR-A0TU	4	5	1	6	0	4	0	0	8	3	0	0	4	11	2	36	6
BRCA_TCGA-AR-A0TV	1	2	1	13	3	9	0	0	1	5	0	2	13	6	1	13	9
BRCA_TCGA-AR-A0TW	4	3	4	10	6	5	0	0	5	1	0	4	0	4	0	13	8
BRCA_TCGA-AR-A0TX	2	0	34	3	3	0	0	0	0	0	26	0	19	317	0	3	0
BRCA_TCGA-AR-A0TZ	4	4	8	5	1	4	0	3	3	0	0	3	0	23	0	4	5
BRCA_TCGA-AR-A0U0	3	1	2	1	7	5	0	3	0	1	0	0	6	8	2	5	6
BRCA_TCGA-AR-A0U1	2	1	1	0	10	0	1	0	6	8	2	8	4	12	2	40	12
BRCA_TCGA-AR-A0U2	0	12	2	5	3	4	1	0	3	0	1	2	5	0	0	8	10
BRCA_TCGA-AR-A0U3	3	7	3	2	3	4	1	0	0	1	0	0	5	0	0	6	5
BRCA_TCGA-AR-A0U4	9	3	4	0	15	6	5	0	0	6	0	2	12	53	4	65	17
BRCA_TCGA-AR-A1AH	9	8	1	4	0	4	7	0	3	13	3	1	3	9	5	27	23
BRCA_TCGA-AR-A1AI	1	6	8	7	0	7	4	0	0	5	0	1	15	19	0	11	5
BRCA_TCGA-AR-A1AJ	0	2	4	9	0	0	0	0	0	0	8	4	2	22	0	2	0
BRCA_TCGA-AR-A1AK	2	4	6	7	0	0	0	0	0	2	1	1	12	33	0	4	10
BRCA_TCGA-AR-A1AL	0	2	1	1	5	0	0	0	1	0	2	6	3	6	0	0	3
BRCA_TCGA-AR-A1AN	0	4	2	9	0	1	0	0	0	2	0	0	0	5	0	6	2
BRCA_TCGA-AR-A1AO	0	4	7	4	7	2	0	2	9	1	4	3	6	24	4	35	10
BRCA_TCGA-AR-A1AP	1	5	4	9	4	0	0	0	0	2	6	0	6	9	1	2	2
BRCA_TCGA-AR-A1AQ	0	1	1	0	16	7	0	0	0	0	0	5	0	3	0	5	3
BRCA_TCGA-AR-A1AR	3	6	0	3	4	0	1	0	0	2	0	0	10	8	4	9	13
BRCA_TCGA-AR-A1AS	1	5	3	0	0	3	0	0	0	0	7	0	2	13	0	4	3
BRCA_TCGA-AR-A1AT	0	1	1	0	15	1	0	2	1	0	0	2	1	1	0	7	0
BRCA_TCGA-AR-A1AU	0	3	0	5	0	0	0	0	1	1	1	2	3	2	1	5	2
BRCA_TCGA-AR-A1AV	2	7	3	7	0	0	0	3	0	0	2	4	7	4	0	2	8
BRCA_TCGA-AR-A1AW	1	2	0	1	12	3	0	3	0	0	3	5	4	1	0	6	0
