Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
RNF168_0_multinomial_train1.34	0.9425643237033117	6.67e-322	1.8e-321	1.42e-321	0.04052247590434324	0.01691320039234505
EXO1_0_multinomial_train1.22	0.9088233940152921	0.018343898596793532	0.04450267391611307	3.37e-321	0.02833003347180126	7.505e-321
EXO1_0_multinomial_train1.23	0.8574039971674469	7.71e-321	0.11279925017881656	4.89e-321	0.029796752653736706	3.16e-321
RNF168_0_multinomial_train1.35	0.7701409014386843	2.99e-321	0.1927727650817294	5.054e-321	0.011087663166585496	0.025998670313000825
RNF168_0_multinomial_train1.36	0.800882770404071	3.76e-321	0.020214950989924655	0.10362119779411684	0.07528108081188753	2.515e-321
EXO1_0_multinomial_train1.24	0.9161823769010426	3.208372388631932e-148	0.003520222870303447	2.719790931490538e-113	0.07451028875399823	0.0057871114746557185
RNF168_0_multinomial_train1.37	0.8422363743853643	1.66e-321	0.10406602821091601	0.04182975384651869	0.011867843557201038	3.88e-321
EXO1_0_multinomial_train1.25	0.8317194245064098	0.025908892669683336	0.08193198252803853	0.03469636803626433	0.025743332259603964	4.948140138089357e-25
RNF168_0_multinomial_train1.38	0.8956339377682485	1.25e-321	2.71e-321	0.01277615432230348	0.052389075116534775	0.0392008327929132
EXO1_0_multinomial_train1.26	0.9161148861009691	0.021626491483805747	0.04826016161749212	2.544e-321	0.013998460797732905	9.34e-322
EXO1_0_multinomial_train1.27	0.8832990776663819	1.0716e-320	0.07930734785679816	2.28e-321	0.03739357447681976	8.25e-322
EXO1_0_multinomial_train1.28	0.8820525795735181	1.2485e-320	0.08261822365675407	2.2e-321	0.03532919676972773	8.94e-322
EXO1_0_multinomial_train1.29	0.8834747345164143	9.654e-321	0.08460824317238723	9.27e-321	0.031917022311198556	1.0944e-320
EXO1_0_multinomial_train1.30	0.8611587836224981	7.954e-321	0.10190599068198904	1.255e-321	0.03693522569551301	6.13e-322
RNF168_0_multinomial_train1.39	0.8265460969310671	4.575e-321	0.1498773470466048	8.9e-322	3.276e-321	0.0235765560223281
RNF168_0_multinomial_train1.40	0.7587397124664166	1.487e-321	3.34e-321	0.12239171572559278	0.08418725806371251	0.034681313744278144
EXO1_0_multinomial_train1.31	0.8204368754362287	0.04329730726134382	0.1105670030177546	1.86e-321	0.02569881428467282	1.1e-321
EXO1_0_multinomial_train1.32	0.8768966467549562	0.024935090057511152	0.06723232291836662	5.5e-321	0.025076267556583154	0.005859672712582887
EXO1_0_multinomial_train1.33	0.9021173617183882	0.005617953649143526	0.08778668330426724	4.64e-321	0.00011596883452490319	0.004362032493676234
RNF168_0_multinomial_train1.41	0.8755217890855107	1.29e-321	3.68e-321	3.48e-321	0.09525859539753172	0.029219615516957672
RNF168_0_multinomial_train1.42	0.854496675135437	2.7e-321	2.317e-321	1.65e-321	0.13119034825885809	0.01431297660570483
EXO1_0_multinomial_train1.34	0.8727211369815014	0.004026739868483769	0.11082504895622017	3.52e-321	0.012427074193794478	5.385e-321
RNF168_0_multinomial_train1.43	0.7866902455075755	1.85e-321	0.06432037942184803	0.038690375532126495	0.09136027095057093	0.01893872858787902
EXO1_0_multinomial_train1.35	0.842102676170013	7.396e-321	0.10498068377553596	5.264334444659352e-68	0.041806990229642266	0.011109649824808767
EXO1_0_multinomial_train1.36	0.8494164734367484	2.184e-320	0.15058352656325164	2.727e-321	7.35e-321	1.126e-321
RNF168_0_multinomial_train1.44	0.7892879086101994	2.08e-321	4.32e-321	2.717e-321	0.17969929157396744	0.03101279981583306
EXO1_0_multinomial_train1.37	0.8672890856780613	0.01011535258475364	0.12259556173718524	2.456e-321	2.46e-321	2.94e-321
RNF168_0_multinomial_train1.45	0.7986458213336785	1.803e-321	0.017236995792766045	0.08042247207995111	0.10369471079360439	6.05e-321
RNF168_0_multinomial_train1.46	0.8887499674616929	2.915e-321	1.0533e-320	2.22e-321	0.08594541892435884	0.025304613613948437
RNF168_0_multinomial_train1.47	0.8657401440524445	8.127e-321	6.714e-321	1.097e-321	0.1342598559475555	5.8e-322
RNF168_0_multinomial_train1.48	0.8122769511417869	2.134e-321	1.0153e-320	9.8e-322	0.1877230488582132	4.6e-322
