Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PMS1_0_multinomial_train1.14	1.57E-01	2.15E-02	2.77E-02	1.53E-01	2.16E-02	1.89E-01	1.53E-01	1.61E-01
PMS1_0_multinomial_train1.15	1.67E-01	2.02E-03	1.43E-02	1.65E-01	5.49E-53	1.96E-01	1.61E-01	1.65E-01
PMS1_0_multinomial_train1.16	1.39E-01	3.03E-03	1.77E-02	1.40E-01	1.07E-02	1.68E-01	1.33E-01	1.38E-01
PMS1_0_multinomial_train1.17	1.68E-01	1.70E-04	1.59E-02	1.67E-01	1.34E-62	1.98E-01	1.64E-01	1.67E-01
PMS1_0_multinomial_train1.18	1.53E-01	0.00E+00	1.21E-02	1.55E-01	6.94E-62	1.86E-01	1.51E-01	1.55E-01
PMS1_0_multinomial_train1.19	1.54E-01	1.30E-02	1.99E-02	1.48E-01	2.10E-02	1.76E-01	1.43E-01	1.52E-01
PMS1_0_multinomial_train1.20	1.53E-01	1.45E-44	1.48E-02	1.54E-01	1.15E-02	1.87E-01	1.45E-01	1.50E-01
PMS1_0_multinomial_train1.21	1.47E-01	3.33E-03	1.36E-02	1.47E-01	3.95E-03	1.74E-01	1.41E-01	1.46E-01
PMS1_0_multinomial_train1.22	1.50E-01	4.89E-03	1.64E-02	1.48E-01	8.52E-03	1.80E-01	1.41E-01	1.47E-01
PMS1_0_multinomial_train1.23	1.71E-01	4.11E-84	9.61E-03	1.74E-01	1.66E-15	2.11E-01	1.68E-01	1.73E-01
PMS1_0_multinomial_train1.24	1.54E-01	2.93E-03	9.50E-03	1.51E-01	5.47E-03	1.89E-01	1.50E-01	1.51E-01
PMS1_0_multinomial_train1.25	1.39E-01	9.25E-03	2.52E-02	1.38E-01	7.34E-03	1.66E-01	1.33E-01	1.37E-01
PMS1_0_multinomial_train1.26	1.63E-01	8.95E-59	1.22E-02	1.63E-01	2.06E-30	1.94E-01	1.60E-01	1.62E-01
PMS1_0_multinomial_train1.27	1.54E-01	5.96E-04	1.41E-02	1.54E-01	9.56E-03	1.88E-01	1.46E-01	1.51E-01
PMS1_0_multinomial_train1.28	1.49E-01	5.51E-76	1.18E-02	1.51E-01	1.07E-02	1.89E-01	1.41E-01	1.47E-01
PMS1_0_multinomial_train1.29	1.55E-01	1.42E-02	5.06E-03	1.56E-01	1.61E-02	1.90E-01	1.54E-01	1.58E-01
PMS1_0_multinomial_train1.30	1.37E-01	0.00E+00	1.52E-02	1.42E-01	1.39E-02	1.71E-01	1.32E-01	1.39E-01
