Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PMS2_boot.19	2.27E-02	4.95E-02	3.48E-03	5.88E-02	9.95E-27	0.00E+00	2.21E-02	7.64E-02	1.29E-01
PMS2_boot.20	2.20E-02	4.91E-02	3.83E-03	5.81E-02	9.95E-27	0.00E+00	2.22E-02	7.51E-02	1.30E-01
PMS2_boot.21	1.32E-01	5.61E-02	2.67E-02	8.81E-02	1.43E-26	1.89E-01	2.71E-02	2.86E-01	5.48E-02
PMS2_boot.22	1.41E-01	5.61E-02	8.98E-09	1.95E-27	9.97E-27	3.71E-01	9.95E-27	2.78E-01	1.61E-01
PMS2_boot.23	3.39E-27	5.78E-02	2.32E-01	1.77E-01	6.10E-03	2.23E-02	1.36E-02	9.63E-02	9.81E-02
PMS2_boot.24	1.24E-01	5.44E-02	3.24E-14	2.56E-27	9.97E-27	3.31E-01	9.95E-27	2.55E-01	1.15E-01
PMS2_boot.25	1.36E-01	6.23E-02	4.94E-16	9.90E-27	9.97E-27	3.72E-01	9.95E-27	2.97E-01	1.59E-01
PMS2_boot.26	1.82E-01	4.99E-02	1.74E-02	8.91E-02	1.56E-26	2.06E-01	3.70E-02	3.11E-01	8.48E-02
PMS2_boot.27	2.22E-02	4.91E-02	3.71E-03	6.07E-02	9.97E-27	0.00E+00	2.05E-02	7.83E-02	1.34E-01
PMS2_boot.28	1.38E-01	5.77E-02	4.73E-24	2.67E-27	4.44E-28	3.12E-01	9.94E-27	2.26E-01	1.25E-01
PMS2_boot.29	2.12E-02	4.96E-02	5.14E-03	5.85E-02	9.96E-27	0.00E+00	2.11E-02	7.90E-02	1.35E-01
PMS2_boot.30	9.76E-27	5.82E-02	2.78E-01	2.04E-01	1.77E-01	1.36E-01	1.82E-01	2.16E-01	1.35E-01
PMS2_boot.31	9.87E-27	5.84E-02	2.61E-01	1.94E-01	1.43E-01	1.28E-01	1.72E-01	2.05E-01	1.26E-01
PMS2_boot.32	1.24E-01	6.52E-02	9.88E-27	2.45E-02	1.91E-01	1.31E-26	1.60E-01	1.65E-01	7.27E-02
PMS2_boot.33	1.51E-01	8.91E-02	2.79E-02	8.89E-02	1.56E-26	2.00E-01	2.81E-02	2.51E-01	6.98E-02
PMS2_boot.34	2.08E-02	4.97E-02	4.58E-03	5.94E-02	9.95E-27	0.00E+00	2.14E-02	7.89E-02	1.33E-01
PMS2_boot.35	2.27E-02	5.07E-02	4.47E-03	5.39E-02	7.75E-96	0.00E+00	2.44E-02	7.68E-02	1.26E-01
PMS2_boot.36	2.23E-02	5.11E-02	4.52E-03	5.28E-02	3.25E-89	0.00E+00	2.53E-02	7.63E-02	1.24E-01
PMS2_boot.37	6.87E-02	5.45E-02	9.82E-27	2.58E-02	1.91E-01	1.32E-26	1.39E-01	2.16E-01	7.54E-02
PMS2_boot.38	1.71E-01	3.43E-02	2.19E-05	3.40E-02	1.00E-26	9.54E-02	3.45E-01	6.15E-02	0.00E+00
PMS2_boot.39	4.83E-27	7.80E-02	1.86E-01	2.88E-01	6.54E-03	1.99E-01	0.00E+00	0.00E+00	1.93E-02
PMS2_boot.40	5.11E-02	3.07E-02	1.67E-02	2.78E-01	0.00E+00	1.00E-26	3.09E-01	1.50E-26	4.04E-02
PMS2_boot.41	1.00E-26	1.21E-01	1.00E-26	1.97E-01	0.00E+00	2.28E-01	1.67E-01	1.25E-01	4.27E-27
PMS2_boot.42	4.75E-02	8.62E-02	1.12E-01	3.09E-02	4.47E-03	0.00E+00	0.00E+00	2.02E-04	1.80E-02
PMS2_boot.43	4.86E-02	8.49E-02	1.17E-01	3.32E-02	6.02E-03	0.00E+00	0.00E+00	1.00E-03	1.62E-02
PMS2_boot.44	1.22E-01	5.54E-02	2.36E-14	1.20E-27	9.21E-28	2.58E-01	9.94E-27	2.05E-01	1.12E-01
PMS2_boot.45	3.30E-27	5.29E-02	2.43E-01	1.83E-01	9.07E-03	1.50E-01	1.39E-01	1.60E-01	1.28E-01
PMS2_boot.46	2.24E-02	5.15E-02	2.45E-03	5.85E-02	3.14E-79	0.00E+00	2.31E-02	7.84E-02	1.29E-01
PMS2_boot.47	2.14E-02	5.19E-02	3.22E-03	5.75E-02	2.33E-97	0.00E+00	2.38E-02	7.91E-02	1.28E-01
PMS2_real	1.95E-02	5.14E-02	5.07E-03	5.42E-02	7.26E-96	0.00E+00	2.53E-02	7.80E-02	1.24E-01
PMS2_real.1	1.42E-01	5.94E-02	9.93E-27	2.56E-02	1.89E-01	1.31E-26	1.53E-01	2.29E-01	7.30E-02
PMS2_real.2	1.34E-01	5.30E-02	2.70E-02	8.90E-02	4.40E-03	1.99E-01	3.13E-02	2.90E-01	5.40E-02
