Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
UCEC_TCGA-AX-A3G3	1.58E+00	1.18E+00	1.83E+00	8.36E-01	2.09E+00	6.53E-01	6.19E+00	1.89E+00	4.65E+00	1.77E+00	2.20E+00	6.26E+00	1.65E+00	1.08E+00
UCEC_TCGA-AX-A3G4	7.06E-01	0.00E+00	6.18E-01	5.67E-01	6.74E-01	2.67E-01	2.40E+00	1.03E+00	5.26E-01	1.72E+00	1.47E+00	2.21E+00	7.00E-01	0.00E+00
UCEC_TCGA-AX-A3G6	1.33E+00	7.78E-01	6.84E-01	1.16E+00	1.46E+00	5.54E-01	9.17E-01	8.59E-01	1.15E+00	7.31E-01	2.51E+00	1.49E+00	5.62E-01	4.53E-01
UCEC_TCGA-AX-A3G7	1.80E+00	5.78E-01	9.67E-01	2.13E-01	5.47E-01	0.00E+00	4.16E-01	0.00E+00	4.00E-01	6.80E-01	1.51E+00	1.22E+00	4.76E-01	0.00E+00
UCEC_TCGA-AX-A3G8	1.92E+01	1.21E+00	1.36E+01	4.86E+00	1.40E+01	1.65E+01	1.13E+00	4.14E+00	9.70E+00	1.64E+01	6.36E+00	3.16E+00	1.03E+00	1.48E+00
UCEC_TCGA-AX-A3G9	1.49E+01	1.65E+00	9.58E+00	4.12E+00	6.10E+00	1.04E+01	5.36E+00	3.34E+00	7.64E+00	1.18E+01	6.41E+00	5.18E+00	8.06E-01	1.73E+00
UCEC_TCGA-AX-A3GB	4.03E+00	3.65E-01	2.93E+00	1.68E+00	1.54E+00	1.00E-01	9.98E-01	1.09E+00	2.03E+00	0.00E+00	1.37E+00	1.37E+00	0.00E+00	7.00E-01
UCEC_TCGA-AX-A3GI	7.90E-01	0.00E+00	7.86E-01	4.28E-01	1.04E+00	4.16E-01	1.57E+00	6.23E-01	2.26E+00	5.47E-01	1.62E+00	1.90E+00	9.80E-01	9.22E-01
UCEC_TCGA-B5-A0JN	8.46E-01	3.67E-01	9.12E-01	9.09E-01	1.22E+00	8.82E-01	8.75E-01	1.32E+00	1.78E+00	2.18E+00	2.21E+00	2.19E+00	2.26E+00	4.00E-01
UCEC_TCGA-B5-A0JS	1.14E+00	0.00E+00	6.84E-01	6.00E-01	3.89E-01	6.11E-01	1.08E+00	0.00E+00	7.45E-01	1.33E+00	1.03E+00	6.40E-01	6.23E-01	4.71E-01
UCEC_TCGA-B5-A0JT	1.40E+00	5.77E-01	1.44E+00	7.92E-01	9.34E-01	5.93E-01	4.73E-01	7.00E-01	1.72E+00	1.16E+00	8.17E-01	1.16E+00	7.12E-01	3.96E-01
UCEC_TCGA-B5-A0JU	1.07E+01	1.56E+00	8.20E+00	2.81E+00	9.16E+00	8.83E+00	3.38E+00	2.15E+00	5.47E+00	9.00E+00	5.08E+00	4.80E+00	4.96E-01	8.44E-01
UCEC_TCGA-B5-A0JX	2.20E+00	6.51E-01	1.00E+00	8.06E-01	1.28E+00	5.63E-01	1.19E+00	6.29E-01	1.81E+00	1.07E+00	2.15E+00	2.84E+00	1.23E+00	6.23E-01
