Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
UNG_boot.12	2.64E-02	8.99E-02	8.45E-02	2.29E-03	9.52E-02	5.54E-02
UNG_boot.13	2.24E-02	8.78E-02	7.98E-02	3.76E-56	9.50E-02	5.57E-02
UNG_boot.14	2.14E-02	5.19E-02	6.68E-02	1.10E-01	9.34E-02	1.67E-02
UNG_boot.15	1.94E-02	5.14E-02	6.79E-02	1.06E-01	9.03E-02	1.39E-02
UNG_boot.16	2.64E-02	5.15E-02	6.18E-02	1.07E-01	9.52E-02	2.54E-02
UNG_boot.17	2.61E-02	4.83E-02	5.88E-02	1.00E-01	8.95E-02	2.71E-02
UNG_boot.18	2.65E-02	4.65E-02	5.59E-02	9.32E-02	8.86E-02	2.64E-02
UNG_boot.19	2.31E-02	5.41E-02	6.75E-02	1.13E-01	9.48E-02	1.93E-02
UNG_boot.20	3.25E-02	4.96E-02	5.14E-02	9.34E-02	9.49E-02	3.60E-02
UNG_boot.21	2.62E-02	9.56E-02	8.36E-02	4.80E-03	1.01E-01	5.59E-02
UNG_boot.22	2.23E-02	5.16E-02	6.58E-02	1.09E-01	9.30E-02	1.82E-02
UNG_boot.23	3.04E-02	5.15E-02	5.90E-02	1.03E-01	9.83E-02	3.03E-02
UNG_boot.24	2.07E-02	8.88E-02	8.30E-02	0.00E+00	9.32E-02	5.14E-02
UNG_boot.25	3.64E-02	8.75E-02	7.19E-02	0.00E+00	9.76E-02	5.52E-02
UNG_boot.26	3.27E-02	9.10E-02	7.46E-02	3.04E-03	1.00E-01	5.49E-02
UNG_boot.27	2.23E-02	4.69E-02	6.20E-02	1.04E-01	8.52E-02	2.14E-02
UNG_boot.28	3.69E-02	8.51E-02	7.02E-02	0.00E+00	9.96E-02	5.62E-02
UNG_boot.29	2.03E-02	8.63E-02	8.09E-02	0.00E+00	9.29E-02	5.33E-02
UNG_boot.30	2.79E-02	5.09E-02	5.99E-02	1.03E-01	9.52E-02	2.71E-02
UNG_boot.31	2.33E-02	5.23E-02	6.49E-02	1.11E-01	9.40E-02	2.07E-02
UNG_boot.32	3.04E-02	5.34E-02	5.66E-02	1.06E-01	9.96E-02	3.22E-02
UNG_boot.33	2.28E-02	8.90E-02	8.20E-02	3.02E-03	9.47E-02	5.38E-02
UNG_boot.34	3.21E-02	8.77E-02	7.60E-02	0.00E+00	9.75E-02	5.57E-02
UNG_boot.35	2.30E-02	9.48E-02	8.29E-02	2.89E-03	9.96E-02	5.58E-02
UNG_boot.36	3.18E-02	8.82E-02	7.55E-02	0.00E+00	9.71E-02	5.26E-02
UNG_boot.37	3.23E-02	5.20E-02	5.70E-02	1.00E-01	9.96E-02	3.46E-02
UNG_boot.38	2.71E-02	5.27E-02	6.13E-02	1.09E-01	9.72E-02	2.59E-02
UNG_boot.39	2.86E-02	9.23E-02	7.83E-02	5.98E-30	1.01E-01	5.55E-02
UNG_boot.40	2.96E-02	4.77E-02	5.43E-02	9.19E-02	9.12E-02	3.03E-02
UNG_boot.41	2.13E-02	9.30E-02	8.09E-02	1.91E-03	9.84E-02	5.45E-02
UNG_boot.42	2.41E-02	4.92E-02	6.03E-02	1.05E-01	9.01E-02	2.27E-02
UNG_boot.43	2.97E-02	4.84E-02	5.42E-02	9.29E-02	9.27E-02	3.04E-02
UNG_boot.44	3.37E-02	8.86E-02	7.45E-02	7.65E-99	1.01E-01	5.60E-02
UNG_boot.45	2.36E-02	5.06E-02	6.44E-02	1.04E-01	9.22E-02	1.82E-02
UNG_boot.46	2.77E-02	5.12E-02	6.06E-02	1.02E-01	9.64E-02	2.42E-02
UNG_boot.47	2.92E-02	9.24E-02	7.84E-02	2.67E-55	1.00E-01	5.39E-02
UNG_boot.48	2.62E-02	8.66E-02	8.34E-02	0.00E+00	9.47E-02	5.65E-02
UNG_boot.49	3.29E-02	9.03E-02	7.39E-02	3.34E-03	1.02E-01	5.52E-02
UNG_boot.50	2.12E-02	5.13E-02	6.70E-02	1.07E-01	9.03E-02	1.59E-02
UNG_boot.51	2.20E-02	8.44E-02	7.76E-02	0.00E+00	8.91E-02	5.38E-02
UNG_boot.52	1.80E-02	8.42E-02	7.86E-02	0.00E+00	8.58E-02	4.86E-02
UNG_boot.53	2.75E-02	8.82E-02	7.90E-02	0.00E+00	9.65E-02	5.51E-02
UNG_boot.54	2.56E-02	1.01E-01	6.07E-02	0.00E+00	5.77E-02	4.81E-02
UNG_boot.55	2.67E-02	9.56E-02	5.98E-02	2.63E-158	5.77E-02	4.56E-02
UNG_boot.56	2.41E-02	9.79E-02	6.01E-02	0.00E+00	5.61E-02	4.56E-02
UNG_boot.57	2.85E-02	9.47E-02	6.15E-02	0.00E+00	6.13E-02	5.29E-02
UNG_boot.58	2.90E-02	9.38E-02	6.15E-02	0.00E+00	5.91E-02	4.77E-02
UNG_boot.59	2.50E-02	8.92E-02	5.63E-02	0.00E+00	5.15E-02	5.17E-02
UNG_boot.60	2.51E-02	9.34E-02	5.69E-02	9.50E-141	5.42E-02	5.61E-02
UNG_boot.61	2.85E-02	9.78E-02	6.16E-02	0.00E+00	5.96E-02	5.06E-02
UNG_boot.62	2.51E-02	1.06E-01	6.54E-02	0.00E+00	6.24E-02	4.33E-02
UNG_boot.63	2.58E-02	1.01E-01	6.33E-02	0.00E+00	6.05E-02	4.68E-02
UNG_boot.64	2.62E-02	9.94E-02	6.03E-02	3.26E-107	5.69E-02	4.59E-02
UNG_boot.65	2.82E-02	9.23E-02	6.05E-02	0.00E+00	5.81E-02	5.51E-02
UNG_boot.66	2.89E-02	9.34E-02	6.14E-02	0.00E+00	5.81E-02	5.65E-02
UNG_boot.67	2.51E-02	8.85E-02	5.57E-02	0.00E+00	5.24E-02	5.17E-02
UNG_boot.68	2.67E-02	9.33E-02	5.99E-02	0.00E+00	5.77E-02	4.78E-02
UNG_boot.69	2.59E-02	9.28E-02	5.78E-02	0.00E+00	5.64E-02	4.84E-02
UNG_boot.70	2.64E-02	1.02E-01	6.02E-02	3.32E-03	5.62E-02	4.65E-02
UNG_boot.71	2.54E-02	8.83E-02	5.61E-02	0.00E+00	5.26E-02	5.38E-02
UNG_boot.72	2.32E-02	9.93E-02	5.93E-02	2.11E-114	5.52E-02	4.62E-02
UNG_boot.73	2.91E-02	9.26E-02	6.19E-02	0.00E+00	6.09E-02	4.82E-02
UNG_boot.74	2.63E-02	9.22E-02	5.92E-02	0.00E+00	5.71E-02	4.73E-02
UNG_boot.75	2.78E-02	9.82E-02	6.17E-02	0.00E+00	5.91E-02	4.96E-02
UNG_boot.76	2.86E-02	9.80E-02	6.06E-02	0.00E+00	5.85E-02	5.20E-02
UNG_boot.77	2.80E-02	9.40E-02	5.97E-02	0.00E+00	5.73E-02	5.02E-02
UNG_boot.78	2.67E-02	9.72E-02	5.93E-02	3.36E-146	5.55E-02	5.22E-02
UNG_boot.79	2.70E-02	9.45E-02	6.02E-02	0.00E+00	5.67E-02	5.18E-02
UNG_boot.80	2.55E-02	1.04E-01	6.28E-02	6.97E-157	6.31E-02	4.27E-02
UNG_boot.81	2.64E-02	9.07E-02	5.91E-02	0.00E+00	5.56E-02	5.02E-02
UNG_boot.82	2.69E-02	9.21E-02	5.87E-02	0.00E+00	5.46E-02	4.93E-02
UNG_boot.83	2.61E-02	9.96E-02	5.97E-02	8.88E-99	5.83E-02	5.05E-02
UNG_boot.84	2.86E-02	1.04E-01	6.23E-02	0.00E+00	6.09E-02	5.25E-02
UNG_boot.85	2.51E-02	8.71E-02	5.51E-02	0.00E+00	5.15E-02	5.41E-02
UNG_boot.86	3.04E-02	1.02E-01	6.29E-02	0.00E+00	5.96E-02	5.37E-02
UNG_boot.87	2.68E-02	9.52E-02	5.97E-02	0.00E+00	5.76E-02	4.91E-02
UNG_boot.88	3.07E-02	1.04E-01	6.46E-02	0.00E+00	6.37E-02	5.69E-02
UNG_boot.89	2.55E-02	9.91E-02	6.17E-02	0.00E+00	5.83E-02	4.73E-02
UNG_boot.90	2.59E-02	1.07E-01	6.27E-02	2.10E-84	6.13E-02	5.07E-02
UNG_boot.91	2.87E-02	9.97E-02	6.27E-02	0.00E+00	6.09E-02	5.09E-02
UNG_boot.92	2.59E-02	1.03E-01	6.30E-02	0.00E+00	6.06E-02	4.81E-02
UNG_boot.93	2.80E-02	1.00E-01	6.25E-02	0.00E+00	5.92E-02	5.89E-02
UNG_boot.94	2.65E-02	9.26E-02	5.83E-02	0.00E+00	5.31E-02	5.28E-02
UNG_boot.95	2.95E-02	9.94E-02	6.16E-02	0.00E+00	5.90E-02	5.28E-02
UNG_boot.96	2.60E-02	9.19E-02	5.82E-02	0.00E+00	5.25E-02	4.98E-02
UNG_boot.97	2.29E-02	9.94E-02	6.20E-02	0.00E+00	5.74E-02	4.36E-02
UNG_boot.98	2.73E-02	9.75E-02	6.10E-02	0.00E+00	5.67E-02	5.34E-02
UNG_boot.99	2.51E-02	9.44E-02	5.84E-02	0.00E+00	5.33E-02	5.62E-02
UNG_boot.100	2.02E-02	9.73E-02	6.18E-02	0.00E+00	5.36E-02	4.01E-02
UNG_boot.101	2.68E-02	9.86E-02	6.05E-02	0.00E+00	5.79E-02	4.95E-02
UNG_boot.102	2.77E-02	1.03E-01	6.19E-02	1.54E-124	6.09E-02	4.54E-02
UNG_boot.103	2.83E-02	1.01E-01	6.31E-02	3.24E-95	6.12E-02	5.12E-02
UNG_boot.104	3.04E-02	1.04E-01	6.33E-02	0.00E+00	6.40E-02	4.76E-02
UNG_boot.105	2.49E-02	1.02E-01	6.33E-02	0.00E+00	6.12E-02	4.65E-02
UNG_boot.106	1.92E-02	8.22E-02	5.34E-02	0.00E+00	4.49E-02	4.92E-02
UNG_boot.107	2.92E-02	1.01E-01	6.36E-02	0.00E+00	5.97E-02	5.35E-02
UNG_boot.108	2.39E-02	9.47E-02	5.72E-02	0.00E+00	5.30E-02	5.58E-02
UNG_boot.109	2.02E-02	8.21E-02	5.19E-02	0.00E+00	4.64E-02	5.12E-02
UNG_boot.110	2.52E-02	1.06E-01	6.41E-02	0.00E+00	6.09E-02	4.88E-02
UNG_boot.111	2.48E-02	9.64E-02	5.81E-02	2.36E-153	5.39E-02	5.73E-02
UNG_boot.112	3.05E-02	1.04E-01	6.41E-02	0.00E+00	6.25E-02	5.66E-02
UNG_boot.113	2.77E-02	9.38E-02	5.97E-02	0.00E+00	5.65E-02	4.97E-02
UNG_boot.114	2.13E-02	8.63E-02	5.58E-02	0.00E+00	5.12E-02	5.14E-02
UNG_boot.115	2.27E-02	9.17E-02	5.66E-02	0.00E+00	5.46E-02	5.08E-02
UNG_boot.116	2.30E-02	8.80E-02	5.79E-02	0.00E+00	5.23E-02	5.34E-02
UNG_boot.117	2.77E-02	9.13E-02	5.97E-02	0.00E+00	5.56E-02	5.81E-02
UNG_boot.118	2.63E-02	9.36E-02	6.04E-02	0.00E+00	5.60E-02	5.01E-02
UNG_boot.119	2.60E-02	9.08E-02	5.94E-02	0.00E+00	5.51E-02	6.04E-02
UNG_boot.120	2.13E-02	8.70E-02	5.44E-02	0.00E+00	5.09E-02	5.07E-02
UNG_boot.121	3.04E-02	9.49E-02	6.50E-02	0.00E+00	5.99E-02	5.10E-02
UNG_boot.122	3.03E-02	1.01E-01	6.34E-02	0.00E+00	6.18E-02	5.23E-02
UNG_boot.123	2.95E-02	9.67E-02	6.26E-02	0.00E+00	5.74E-02	6.25E-02
UNG_boot.124	2.65E-02	8.97E-02	5.87E-02	0.00E+00	5.47E-02	5.04E-02
