Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-AR-A0TT	0	7	4	5	4	2	0	0	2	5	0	1	12	11	8	2	2	10
BRCA_TCGA-AR-A0TU	6	6	1	0	7	0	1	0	6	3	9	1	7	14	0	2	17	10
BRCA_TCGA-AR-A0TV	1	2	1	7	12	3	0	0	8	4	0	1	14	5	6	0	11	4
BRCA_TCGA-AR-A0TW	4	4	4	4	10	1	1	0	6	0	5	4	0	4	2	0	13	5
BRCA_TCGA-AR-A0TX	2	2	30	0	4	2	0	0	2	0	0	0	5	273	87	0	0	0
BRCA_TCGA-AR-A0TZ	4	4	8	2	5	0	0	2	5	0	3	2	0	21	3	0	4	4
BRCA_TCGA-AR-A0U0	3	2	2	6	1	0	0	2	6	1	0	0	6	8	1	2	6	4
BRCA_TCGA-AR-A0U1	3	2	1	7	0	2	1	0	0	9	7	10	5	14	4	2	24	18
BRCA_TCGA-AR-A0U2	0	10	2	3	5	3	1	0	4	0	3	2	4	0	1	0	10	8
BRCA_TCGA-AR-A0U3	3	5	3	2	2	2	2	0	4	1	0	0	4	0	2	0	6	4
BRCA_TCGA-AR-A0U4	10	3	4	16	0	0	5	1	12	7	0	4	15	60	5	5	37	17
BRCA_TCGA-AR-A1AH	9	8	2	1	5	11	7	0	0	14	3	3	4	12	0	5	33	3
BRCA_TCGA-AR-A1AI	2	6	8	0	7	5	3	0	7	4	0	2	16	18	0	0	6	5
BRCA_TCGA-AR-A1AJ	0	3	3	0	8	0	0	0	3	0	0	3	0	16	15	0	0	2
BRCA_TCGA-AR-A1AK	2	4	6	4	6	0	0	0	0	2	0	1	9	26	12	0	9	1
BRCA_TCGA-AR-A1AL	0	2	1	3	1	0	0	0	0	0	1	6	2	4	6	0	2	2
BRCA_TCGA-AR-A1AN	0	4	2	0	9	0	0	0	3	2	0	0	0	4	2	0	4	1
BRCA_TCGA-AR-A1AO	1	5	7	4	4	0	0	3	6	2	11	4	4	21	17	5	22	6
BRCA_TCGA-AR-A1AP	1	5	4	5	8	5	0	0	0	2	0	0	4	7	6	1	2	1
BRCA_TCGA-AR-A1AQ	0	2	0	13	0	0	0	0	10	0	0	6	1	2	4	0	3	0
BRCA_TCGA-AR-A1AR	3	6	0	2	4	0	0	0	0	2	1	1	11	9	1	4	13	6
BRCA_TCGA-AR-A1AS	1	4	3	0	1	0	0	0	5	0	0	0	0	7	15	0	2	3
BRCA_TCGA-AR-A1AT	0	2	0	11	0	1	0	2	3	0	1	3	4	2	0	0	1	2
BRCA_TCGA-AR-A1AU	0	3	0	0	6	0	0	0	0	2	0	3	1	0	7	1	3	0
BRCA_TCGA-AR-A1AV	1	8	3	1	7	0	0	3	0	0	0	4	3	0	11	0	7	1
BRCA_TCGA-AR-A1AW	1	3	0	8	1	6	0	2	1	0	0	5	5	2	2	0	0	5
BRCA_TCGA-AR-A1AX	0	2	4	0	2	0	0	0	3	0	0	2	4	0	6	0	6	3
BRCA_TCGA-AR-A1AY	1	2	2	7	8	3	0	0	5	0	2	7	6	9	12	0	5	3
BRCA_TCGA-AR-A24H	9	3	1	2	8	3	0	3	11	0	9	6	20	29	0	0	23	25
BRCA_TCGA-AR-A24K	0	1	2	0	4	0	4	0	6	5	0	0	4	0	0	0	7	1
BRCA_TCGA-AR-A24L	0	2	0	3	0	4	0	1	1	3	0	1	6	8	0	2	16	6
BRCA_TCGA-AR-A24M	0	2	0	2	1	1	0	0	1	0	5	5	0	1	0	0	4	3
BRCA_TCGA-AR-A24N	0	3	0	7	6	4	2	0	3	2	0	0	6	3	6	1	1	3
BRCA_TCGA-AR-A24O	1	0	0	6	4	2	0	0	3	0	1	2	1	1	0	0	0	1
BRCA_TCGA-AR-A24P	0	2	4	0	2	0	0	0	2	1	2	0	2	0	0	0	2	2
BRCA_TCGA-AR-A24Q	5	6	3	6	0	6	3	7	23	2	17	9	10	33	29	2	42	29
BRCA_TCGA-AR-A24R	0	3	1	5	3	0	2	0	2	0	0	4	5	1	0	0	0	0
BRCA_TCGA-AR-A24S	1	4	2	4	7	2	1	0	0	8	4	0	6	7	6	0	0	5
BRCA_TCGA-AR-A24T	0	1	2	5	4	0	0	0	0	0	0	1	3	2	0	0	6	0
BRCA_TCGA-AR-A24U	0	4	3	1	4	0	0	0	1	0	1	0	2	13	11	0	2	2
BRCA_TCGA-AR-A24V	0	3	3	8	1	0	0	0	0	1	0	2	0	4	1	0	1	4
