Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-A2-A3XV	0.00E+00	3.79E-01	2.67E-01	1.08E+00	5.59E-01	1.62E+00	7.49E-01	2.21E-01	1.24E+00	0.00E+00	7.06E-01
BRCA_TCGA-A2-A3XW	3.33E-01	5.42E-01	3.06E-01	2.91E-01	4.67E-01	0.00E+00	9.22E-01	0.00E+00	7.27E-01	2.49E-01	0.00E+00
BRCA_TCGA-A2-A3XX	2.21E-01	1.35E+00	3.35E-01	1.42E+00	1.00E+00	1.07E+00	7.12E-01	3.40E-01	1.38E+00	7.03E-01	1.33E-01
BRCA_TCGA-A2-A3XZ	0.00E+00	1.02E+00	7.37E-01	6.63E-01	1.09E+00	1.49E+00	3.42E-01	0.00E+00	7.60E-01	1.59E+00	0.00E+00
BRCA_TCGA-A2-A3Y0	1.39E+00	2.19E+00	2.85E+00	1.69E+00	1.03E+00	3.00E+00	1.65E+00	1.48E+00	4.31E+00	2.08E+00	1.03E+00
BRCA_TCGA-A2-A4S1	1.01E+00	1.16E+00	1.19E+00	1.31E+00	3.06E-01	1.38E+00	1.13E+00	6.80E-01	1.18E+00	9.98E-01	8.62E-01
BRCA_TCGA-A2-A4S2	0.00E+00	1.06E+00	5.97E-01	6.74E-01	0.00E+00	1.28E+00	1.02E+00	0.00E+00	2.38E+00	1.22E+00	4.82E-01
BRCA_TCGA-A2-A4S3	7.63E-01	1.82E+00	7.63E-01	1.28E+00	8.17E-01	2.27E+00	1.63E+00	2.69E-01	1.78E+00	1.12E+00	0.00E+00
BRCA_TCGA-A7-A0CE	2.24E-01	5.54E-01	1.15E+00	1.27E+00	3.48E-01	9.75E-01	9.43E-01	6.90E-01	2.09E+00	9.71E-01	1.00E-01
BRCA_TCGA-A7-A0CH	0.00E+00	2.13E-01	8.30E-01	0.00E+00	6.37E-01	1.24E+00	0.00E+00	0.00E+00	1.34E+00	0.00E+00	1.33E-01
BRCA_TCGA-A7-A0D9	0.00E+00	4.96E-01	0.00E+00	4.07E-01	0.00E+00	5.62E-01	2.21E-01	2.00E-01	4.73E-01	6.32E-01	5.12E-01
BRCA_TCGA-A7-A0DA	1.15E+00	1.99E+00	1.66E+00	1.18E+00	9.80E-01	2.86E+00	8.06E-01	1.29E+00	1.97E+00	1.84E+00	8.06E-01
BRCA_TCGA-A7-A0DB	6.29E-01	1.15E+00	3.35E-01	2.60E-01	3.79E-01	2.00E-01	9.43E-01	6.00E-01	1.13E+00	1.26E+00	4.90E-01
BRCA_TCGA-A7-A13D	8.72E-01	1.46E+00	1.95E+00	1.48E+00	9.43E-01	2.41E+00	1.25E+00	7.81E-01	1.72E+00	1.19E+00	8.54E-01
BRCA_TCGA-A7-A13E	0.00E+00	1.39E+00	1.99E+00	7.86E-01	6.63E-01	1.15E+00	1.00E-01	4.73E-01	1.33E+00	9.94E-01	2.21E-01
BRCA_TCGA-A7-A13F	5.63E-01	9.33E-01	9.04E-01	7.52E-01	7.33E-01	1.26E+00	9.66E-01	0.00E+00	1.18E+00	9.17E-01	0.00E+00
BRCA_TCGA-A7-A13G	2.58E-01	1.02E+00	1.17E+00	7.63E-01	0.00E+00	1.52E+00	0.00E+00	0.00E+00	8.27E-01	8.06E-01	6.36E-01
BRCA_TCGA-A7-A26E	0.00E+00	9.60E-01	8.54E-01	7.46E-01	1.31E+00	1.59E+00	6.90E-01	4.07E-01	9.87E-01	1.53E+00	6.29E-01
BRCA_TCGA-A7-A26F	6.36E-01	1.33E+00	5.97E-01	3.06E-01	8.30E-01	2.04E+00	2.21E-01	4.16E-01	1.52E+00	7.33E-01	0.00E+00
BRCA_TCGA-A7-A26G	7.90E-01	5.59E-01	1.36E+00	8.92E-01	5.00E-01	8.82E-01	6.05E-01	6.23E-01	1.63E+00	1.45E+00	0.00E+00
BRCA_TCGA-A7-A26H	1.36E+00	1.91E+00	4.00E-01	1.14E+00	1.31E+00	8.88E-01	9.57E-01	6.05E-01	2.26E+00	2.24E+00	3.00E-01
BRCA_TCGA-A7-A26I	4.23E-01	6.71E-01	1.07E+00	3.40E-01	7.57E-01	1.54E+00	7.30E-01	0.00E+00	1.87E+00	7.92E-01	2.13E-01
BRCA_TCGA-A7-A26J	6.70E-01	7.78E-01	0.00E+00	2.69E-01	0.00E+00	1.87E+00	3.42E-01	1.00E-01	1.64E+00	9.78E-01	0.00E+00
BRCA_TCGA-A7-A2KD	5.47E-01	1.81E+00	1.33E-01	1.24E+00	9.66E-01	1.69E+00	2.00E-01	2.00E-01	6.71E-01	6.29E-01	7.16E-01
BRCA_TCGA-A7-A3RF	1.00E-01	8.88E-01	2.13E-01	0.00E+00	0.00E+00	1.18E+00	1.18E+00	8.46E-01	9.69E-01	4.00E-01	1.00E-01
BRCA_TCGA-A7-A425	0.00E+00	1.11E+00	0.00E+00	5.97E-01	0.00E+00	1.05E+00	6.96E-01	4.07E-01	6.00E-01	2.00E-01	4.47E-01
