Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-A2-A3Y0	3	13	0	15	10	5	25	118	0	54
BRCA_TCGA-A2-A4S1	9	12	0	1	6	3	8	51	0	8
BRCA_TCGA-A2-A4S2	0	6	0	4	2	0	5	19	0	7
BRCA_TCGA-A2-A4S3	7	15	7	8	3	2	11	36	0	18
BRCA_TCGA-A7-A0CE	0	1	9	0	6	6	6	25	0	8
BRCA_TCGA-A7-A0CH	0	0	8	1	0	0	0	8	0	0
BRCA_TCGA-A7-A0D9	0	1	2	0	2	0	1	2	0	4
BRCA_TCGA-A7-A0DA	4	6	9	7	5	2	3	126	4	21
BRCA_TCGA-A7-A0DB	2	10	0	1	0	0	5	12	3	20
BRCA_TCGA-A7-A13D	0	11	13	8	3	2	5	77	0	21
BRCA_TCGA-A7-A13E	0	34	0	12	2	1	1	23	0	7
BRCA_TCGA-A7-A13F	3	10	16	3	2	0	3	4	0	4
BRCA_TCGA-A7-A13G	1	4	0	3	5	0	0	8	0	11
BRCA_TCGA-A7-A26E	1	11	20	0	0	1	3	5	6	20
BRCA_TCGA-A7-A26F	3	8	14	0	0	3	0	14	0	4
BRCA_TCGA-A7-A26G	4	3	0	9	3	1	0	30	0	18
BRCA_TCGA-A7-A26H	3	24	6	0	0	2	5	24	0	86
BRCA_TCGA-A7-A26I	2	3	8	3	0	0	3	19	0	8
BRCA_TCGA-A7-A26J	3	5	3	0	0	2	1	23	0	5
BRCA_TCGA-A7-A2KD	1	11	11	0	5	0	2	16	0	9
BRCA_TCGA-A7-A3RF	0	7	0	3	0	1	6	20	0	3
BRCA_TCGA-A7-A425	0	10	0	0	0	2	3	17	0	1
BRCA_TCGA-A7-A4SC	3	5	6	0	4	0	0	16	2	2
BRCA_TCGA-A7-A4SD	0	21	5	6	0	2	5	16	5	2
BRCA_TCGA-A7-A4SE	3	4	0	20	1	0	8	64	0	46
BRCA_TCGA-A7-A56D	12	13	36	0	15	5	0	29	0	115
BRCA_TCGA-A7-A5ZV	2	30	0	21	1	4	15	142	12	41
BRCA_TCGA-A7-A5ZW	3	7	0	3	0	0	6	3	1	13
BRCA_TCGA-A7-A5ZX	2	1	11	0	3	0	3	12	5	5
BRCA_TCGA-A7-A6VV	0	13	6	11	0	1	0	23	0	10
BRCA_TCGA-A7-A6VW	0	6	14	3	0	4	12	45	0	8
BRCA_TCGA-A7-A6VX	0	0	20	5	7	8	9	81	3	44
BRCA_TCGA-A7-A6VY	5	2	18	12	6	0	8	63	0	22
BRCA_TCGA-A8-A075	1	3	16	0	4	3	1	42	0	30
BRCA_TCGA-AC-A23C	9	4	10	8	9	0	12	32	0	61
BRCA_TCGA-AC-A23E	2	7	4	1	0	0	0	10	0	0
BRCA_TCGA-AC-A23H	144	35	0	108	28	0	0	70	0	5993
BRCA_TCGA-AC-A2B8	1	6	15	3	0	0	2	10	0	91
BRCA_TCGA-AC-A2BK	0	14	8	1	15	3	8	57	0	4
BRCA_TCGA-AC-A2BM	0	3	0	4	3	0	0	9	5	2
BRCA_TCGA-AC-A2FB	0	2	3	0	0	0	4	4	0	4
BRCA_TCGA-AC-A2FF	0	0	3	0	0	1	0	1	0	6
BRCA_TCGA-AC-A2FG	0	6	9	1	0	0	3	9	0	11
BRCA_TCGA-AC-A2FK	0	0	1	0	0	0	0	1	0	1
BRCA_TCGA-AC-A2FO	2	0	8	0	0	0	0	4	0	13
BRCA_TCGA-AC-A2QH	0	8	0	2	4	4	0	5	0	4
BRCA_TCGA-AC-A3HN	0	3	0	0	5	0	2	7	2	3
BRCA_TCGA-AC-A3OD	4	1	16	0	6	4	0	1	0	7
BRCA_TCGA-AC-A3QP	1	2	6	1	0	0	4	20	1	0
BRCA_TCGA-AC-A3QQ	0	7	6	0	6	1	0	14	0	2
BRCA_TCGA-AC-A3W5	1	5	17	10	16	0	0	88	3	71
BRCA_TCGA-AC-A3YI	1	1	4	0	3	0	2	6	1	0
BRCA_TCGA-AC-A3YJ	0	8	8	0	3	1	5	8	0	5
BRCA_TCGA-AC-A4ZE	0	9	5	8	7	0	4	31	0	10
BRCA_TCGA-AC-A5EH	10	10	12	25	1	2	9	106	0	30
