Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-A2-A3XW	3.48E-01	6.05E-01	2.13E-01	4.00E-01	3.94E-01	0.00E+00	9.45E-01	8.49E-01	3.06E-01	4.16E-01
BRCA_TCGA-A2-A3XX	4.22E-01	1.42E+00	1.46E+00	3.40E-01	1.34E+00	3.35E-01	4.94E-01	1.04E+00	7.92E-01	1.03E+00
BRCA_TCGA-A2-A3XZ	0.00E+00	1.17E+00	1.57E+00	8.03E-01	7.48E-01	0.00E+00	4.00E-01	1.04E+00	3.42E-01	1.45E+00
BRCA_TCGA-A2-A3Y0	1.35E+00	1.92E+00	3.59E+00	2.93E+00	1.59E+00	1.62E+00	1.69E+00	3.49E+00	8.03E-01	2.30E+00
BRCA_TCGA-A2-A4S1	9.20E-01	1.52E+00	1.19E+00	1.24E+00	1.53E+00	9.04E-01	1.03E+00	1.06E+00	3.79E-01	9.83E-01
BRCA_TCGA-A2-A4S2	0.00E+00	1.19E+00	1.57E+00	7.00E-01	6.99E-01	2.00E-01	1.14E+00	2.16E+00	3.06E-01	1.29E+00
BRCA_TCGA-A2-A4S3	1.03E+00	1.39E+00	2.89E+00	7.81E-01	1.53E+00	9.57E-01	1.69E+00	2.50E+00	5.00E-01	1.05E+00
BRCA_TCGA-A7-A0CE	2.13E-01	6.32E-01	1.55E+00	1.36E+00	1.37E+00	7.19E-01	9.17E-01	1.94E+00	1.00E-01	1.03E+00
BRCA_TCGA-A7-A0CH	1.00E-01	3.06E-01	1.19E+00	7.95E-01	0.00E+00	0.00E+00	0.00E+00	1.27E+00	4.07E-01	2.00E-01
BRCA_TCGA-A7-A0D9	0.00E+00	4.67E-01	4.22E-01	0.00E+00	5.21E-01	0.00E+00	2.00E-01	6.32E-01	3.14E-01	4.33E-01
BRCA_TCGA-A7-A0DA	9.57E-01	1.90E+00	1.86E+00	1.61E+00	9.94E-01	1.13E+00	8.06E-01	2.67E+00	1.42E+00	1.79E+00
BRCA_TCGA-A7-A0DB	8.43E-01	1.09E+00	2.13E-01	3.59E-01	3.06E-01	0.00E+00	9.20E-01	1.27E+00	5.59E-01	1.50E+00
BRCA_TCGA-A7-A13D	1.31E+00	1.50E+00	3.53E+00	1.96E+00	1.56E+00	3.27E-01	1.31E+00	3.07E+00	8.70E-01	1.50E+00
BRCA_TCGA-A7-A13E	0.00E+00	1.38E+00	1.01E+00	2.02E+00	7.03E-01	5.17E-01	0.00E+00	1.62E+00	4.01E-01	1.01E+00
BRCA_TCGA-A7-A13F	8.72E-01	9.91E-01	1.23E+00	9.33E-01	7.00E-01	2.13E-01	1.09E+00	1.16E+00	5.17E-01	9.91E-01
BRCA_TCGA-A7-A13G	2.58E-01	9.09E-01	1.58E+00	1.32E+00	6.74E-01	0.00E+00	0.00E+00	8.56E-01	6.05E-01	8.46E-01
BRCA_TCGA-A7-A26E	7.95E-01	1.22E+00	2.03E+00	7.52E-01	9.20E-01	3.06E-01	7.75E-01	1.06E+00	1.55E+00	1.38E+00
BRCA_TCGA-A7-A26F	8.03E-01	1.48E+00	1.87E+00	6.40E-01	3.06E-01	8.97E-01	3.06E-01	1.45E+00	6.96E-01	7.72E-01
BRCA_TCGA-A7-A26G	8.44E-01	5.82E-01	1.24E+00	1.42E+00	1.07E+00	8.72E-01	5.97E-01	1.88E+00	0.00E+00	1.73E+00
BRCA_TCGA-A7-A26H	1.32E+00	2.04E+00	1.45E+00	6.29E-01	1.37E+00	5.00E-01	9.75E-01	2.73E+00	3.42E-01	2.42E+00
