Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
MSH6_boot.47	8.36E-02	2.27E-86	9.08E-02	0.00E+00	1.03E-01	0.00E+00	2.21E-01	9.43E-02	1.26E-01
MSH6_boot.48	8.31E-02	2.95E-15	9.04E-02	0.00E+00	1.02E-01	4.70E-04	2.10E-01	9.32E-02	1.26E-01
MSH6_boot.49	8.26E-02	2.87E-162	9.17E-02	0.00E+00	1.04E-01	0.00E+00	2.23E-01	9.59E-02	1.27E-01
MSH6_boot.50	8.37E-02	9.10E-03	8.64E-02	3.12E-45	9.91E-02	0.00E+00	2.13E-01	9.12E-02	1.25E-01
MSH6_boot.51	8.55E-02	6.07E-50	8.78E-02	0.00E+00	1.00E-01	0.00E+00	2.18E-01	9.12E-02	1.26E-01
MSH6_boot.52	8.24E-02	1.21E-12	8.98E-02	2.98E-155	1.03E-01	3.69E-151	2.11E-01	9.49E-02	1.26E-01
MSH6_boot.53	8.63E-02	1.72E-90	9.01E-02	5.19E-24	1.02E-01	8.65E-86	2.12E-01	9.42E-02	1.28E-01
MSH6_boot.54	8.15E-02	0.00E+00	8.96E-02	0.00E+00	1.02E-01	0.00E+00	2.19E-01	9.37E-02	1.24E-01
MSH6_boot.55	8.82E-02	2.02E-24	8.65E-02	1.16E-110	9.82E-02	9.59E-05	2.16E-01	8.88E-02	1.27E-01
MSH6_boot.56	8.18E-02	2.03E-150	8.75E-02	0.00E+00	9.95E-02	0.00E+00	2.17E-01	9.13E-02	1.24E-01
MSH6_boot.57	8.50E-02	1.31E-152	9.15E-02	4.49E-149	1.04E-01	6.72E-95	2.15E-01	9.63E-02	1.29E-01
MSH6_boot.58	8.27E-02	8.32E-114	8.80E-02	0.00E+00	1.00E-01	0.00E+00	2.18E-01	9.17E-02	1.25E-01
MSH6_boot.59	8.85E-02	1.20E-125	8.92E-02	0.00E+00	1.01E-01	0.00E+00	2.21E-01	9.21E-02	1.28E-01
MSH6_boot.60	8.80E-02	1.75E-03	9.16E-02	2.00E-91	1.05E-01	3.36E-129	2.12E-01	9.68E-02	1.30E-01
MSH6_boot.61	8.02E-02	3.68E-87	9.07E-02	0.00E+00	1.03E-01	0.00E+00	2.22E-01	9.57E-02	1.24E-01
MSH6_boot.62	8.48E-02	1.50E-131	9.01E-02	9.97E-03	1.02E-01	4.71E-63	2.08E-01	9.54E-02	1.28E-01
MSH6_boot.63	8.88E-02	2.08E-60	8.52E-02	1.79E-02	9.72E-02	0.00E+00	2.08E-01	8.86E-02	1.26E-01
MSH6_boot.64	8.38E-02	0.00E+00	9.04E-02	0.00E+00	1.03E-01	0.00E+00	2.21E-01	9.41E-02	1.27E-01
MSH6_boot.65	8.88E-02	0.00E+00	8.79E-02	1.95E-02	1.00E-01	8.29E-68	2.06E-01	9.29E-02	1.29E-01
MSH6_boot.66	8.76E-02	3.01E-151	9.18E-02	0.00E+00	1.04E-01	0.00E+00	2.24E-01	9.51E-02	1.29E-01
MSH6_boot.67	8.89E-02	0.00E+00	9.23E-02	0.00E+00	1.05E-01	0.00E+00	2.25E-01	9.57E-02	1.30E-01
MSH6_boot.68	8.61E-02	2.00E-101	8.73E-02	1.75E-02	9.98E-02	8.87E-68	2.05E-01	9.29E-02	1.27E-01
MSH6_boot.69	8.87E-02	0.00E+00	9.35E-02	0.00E+00	1.06E-01	0.00E+00	2.25E-01	9.65E-02	1.30E-01
MSH6_boot.70	8.60E-02	0.00E+00	8.86E-02	2.13E-151	1.01E-01	0.00E+00	2.12E-01	9.27E-02	1.27E-01
