Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
BRCA_TCGA-BH-A1FM	5	18	0	1	12	26
BRCA_TCGA-BH-A1FN	0	0	4	3	51	88
BRCA_TCGA-BH-A1FR	0	6	0	2	6	3
BRCA_TCGA-BH-A1FU	10	10	2	23	47	26
BRCA_TCGA-BH-A201	6	2	6	7	2	4
BRCA_TCGA-BH-A202	5	7	1	3	8	4
BRCA_TCGA-BH-A203	7	31	13	0	16	32
BRCA_TCGA-BH-A204	6	10	6	2	19	9
BRCA_TCGA-BH-A208	0	9	0	2	25	46
BRCA_TCGA-BH-A209	2	4	1	2	1	109
BRCA_TCGA-BH-A28Q	0	10	3	0	9	4
BRCA_TCGA-BH-A2L8	0	5	0	0	0	623
BRCA_TCGA-BH-A42U	3	3	0	0	6	20
BRCA_TCGA-BH-A42V	1	5	0	2	1	46
BRCA_TCGA-BH-A5IZ	1	11	8	4	53	19
BRCA_TCGA-BH-A5J0	10	15	1	7	5	64
BRCA_TCGA-BH-A6R8	2	13	1	4	9	8
BRCA_TCGA-BH-A6R9	5	4	1	0	14	1
BRCA_TCGA-BH-A8FY	0	5	7	4	28	12
BRCA_TCGA-BH-A8FZ	4	12	1	18	38	18
BRCA_TCGA-BH-A8G0	2	5	0	5	4	1
BRCA_TCGA-BH-AB28	1	14	10	3	8	7
BRCA_TCGA-C8-A12K	0	4	6	12	72	79
BRCA_TCGA-C8-A12L	1	9	16	2	49	12
BRCA_TCGA-C8-A12M	9	21	10	8	28	6
BRCA_TCGA-C8-A12N	0	9	1	4	8	5
BRCA_TCGA-C8-A12O	4	18	1	0	20	6
BRCA_TCGA-C8-A12P	10	19	0	11	32	130
BRCA_TCGA-C8-A12Q	15	8	3	11	7	95
BRCA_TCGA-C8-A12T	3	11	7	2	0	191
BRCA_TCGA-C8-A12U	0	16	4	2	27	12
BRCA_TCGA-C8-A12V	2	1	17	3	23	6
BRCA_TCGA-C8-A12W	6	32	0	6	26	7
BRCA_TCGA-C8-A12X	2	20	6	4	28	5
BRCA_TCGA-C8-A12Y	0	21	11	10	0	4
BRCA_TCGA-C8-A12Z	1	13	3	5	11	28
BRCA_TCGA-C8-A130	3	22	0	5	15	9
BRCA_TCGA-C8-A131	10	13	6	8	24	13
BRCA_TCGA-C8-A132	0	7	2	4	31	40
BRCA_TCGA-C8-A133	3	0	9	0	14	7
BRCA_TCGA-C8-A134	16	0	24	2	66	9
BRCA_TCGA-C8-A135	4	30	3	11	17	12
BRCA_TCGA-C8-A137	6	9	0	0	14	33
BRCA_TCGA-C8-A138	7	10	7	1	25	2
BRCA_TCGA-C8-A1HE	0	5	2	2	11	34
BRCA_TCGA-C8-A1HF	3	6	5	2	6	17
BRCA_TCGA-C8-A1HG	1	24	1	9	22	12
BRCA_TCGA-C8-A1HI	0	16	6	6	23	21
BRCA_TCGA-C8-A1HJ	3	6	11	18	68	18
BRCA_TCGA-C8-A1HK	8	10	2	11	7	35
BRCA_TCGA-C8-A1HL	2	8	12	1	14	0
BRCA_TCGA-C8-A1HM	5	20	1	4	24	394
BRCA_TCGA-C8-A1HN	2	16	3	4	37	8
BRCA_TCGA-C8-A1HO	4	4	6	2	18	15
BRCA_TCGA-C8-A26V	3	12	0	7	13	61
BRCA_TCGA-C8-A26W	6	8	0	10	8	37
BRCA_TCGA-C8-A26X	5	17	7	2	34	10
BRCA_TCGA-C8-A26Y	26	0	0	27	86	777
BRCA_TCGA-C8-A26Z	4	18	0	0	23	4
BRCA_TCGA-C8-A273	3	5	1	1	13	1
BRCA_TCGA-C8-A274	1	17	11	14	0	238
BRCA_TCGA-C8-A275	1	10	3	7	11	110
BRCA_TCGA-C8-A278	4	11	0	5	15	18
BRCA_TCGA-C8-A27A	10	6	0	0	13	11
BRCA_TCGA-C8-A27B	0	3	0	11	53	95
BRCA_TCGA-C8-A3M7	17	24	8	3	1	168
BRCA_TCGA-C8-A3M8	0	14	0	13	18	17
BRCA_TCGA-C8-A8HP	17	17	2	0	0	237
BRCA_TCGA-C8-A8HQ	16	25	0	1	0	330
BRCA_TCGA-C8-A8HR	1	11	0	6	35	7
BRCA_TCGA-C8-A9FZ	0	14	0	4	5	6
BRCA_TCGA-D8-A13Y	2	7	4	12	30	27
BRCA_TCGA-D8-A13Z	3	18	1	0	60	21
BRCA_TCGA-D8-A140	5	24	16	15	35	39
BRCA_TCGA-D8-A141	0	5	0	0	15	1
BRCA_TCGA-D8-A142	5	34	2	2	101	22
BRCA_TCGA-D8-A143	0	12	4	0	39	6
BRCA_TCGA-D8-A145	0	15	1	9	17	5
BRCA_TCGA-D8-A146	4	12	1	8	8	8
BRCA_TCGA-D8-A147	4	0	16	4	97	79
BRCA_TCGA-D8-A1J8	37	98	113	113	0	600
BRCA_TCGA-D8-A1J9	29	5	0	2	0	242
BRCA_TCGA-D8-A1JB	2	2	6	5	37	11
BRCA_TCGA-D8-A1JC	8	11	5	2	16	80
