Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_0_multinomial_train1.19	1.99E-02	6.42E-03	1.02E-02	1.63E-02	3.61E-02	8.11E-03
OGG1_0_multinomial_train1.20	1.72E-02	2.58E-20	7.07E-03	1.62E-02	3.35E-02	6.38E-04
OGG1_0_multinomial_train1.21	1.69E-02	1.34E-02	3.67E-03	1.80E-02	3.90E-02	1.03E-02
OGG1_0_multinomial_train1.22	2.20E-02	1.55E-13	1.08E-02	1.74E-02	3.59E-02	7.68E-03
OGG1_0_multinomial_train1.23	1.61E-02	1.97E-02	2.91E-03	1.92E-02	4.13E-02	1.72E-02
OGG1_0_multinomial_train1.24	1.73E-02	2.37E-02	6.11E-03	1.73E-02	3.94E-02	1.62E-02
OGG1_0_multinomial_train1.25	1.36E-02	1.88E-02	1.42E-03	1.75E-02	3.91E-02	1.28E-02
OGG1_0_multinomial_train1.26	1.87E-02	1.73E-04	7.88E-03	1.89E-02	3.81E-02	8.66E-03
OGG1_0_multinomial_train1.27	1.91E-02	5.87E-31	7.44E-03	1.57E-02	3.29E-02	6.45E-03
OGG1_0_multinomial_train1.28	1.55E-02	6.38E-11	5.59E-03	1.96E-02	3.87E-02	6.99E-03
OGG1_0_multinomial_train1.29	1.90E-02	1.67E-17	9.89E-03	1.68E-02	3.47E-02	6.43E-04
OGG1_0_multinomial_train1.30	1.90E-02	4.25E-22	1.09E-02	1.74E-02	3.56E-02	7.17E-04
OGG1_0_multinomial_train1.31	1.78E-02	1.38E-02	9.27E-03	1.83E-02	3.58E-02	8.22E-03
OGG1_0_multinomial_train1.32	1.80E-02	9.94E-03	9.99E-03	1.79E-02	3.86E-02	8.74E-03
OGG1_0_multinomial_train1.33	1.57E-02	4.99E-77	6.67E-03	1.52E-02	3.09E-02	2.56E-135
OGG1_0_multinomial_train1.34	2.25E-02	1.12E-02	1.08E-02	1.74E-02	3.82E-02	9.38E-03
OGG1_0_multinomial_train1.35	1.45E-02	2.49E-41	3.55E-03	1.65E-02	3.43E-02	4.70E-03
OGG1_0_multinomial_train1.36	1.73E-02	1.43E-02	4.68E-03	1.73E-02	3.84E-02	8.33E-03
OGG1_0_multinomial_train1.37	2.03E-02	2.47E-03	1.09E-02	1.80E-02	3.77E-02	7.01E-03
OGG1_0_multinomial_train1.38	1.73E-02	2.11E-02	9.75E-03	1.76E-02	3.96E-02	1.27E-02
OGG1_0_multinomial_train1.39	1.74E-02	5.78E-04	9.18E-03	1.79E-02	3.67E-02	6.68E-03
OGG1_0_multinomial_train1.40	2.12E-02	6.38E-74	1.08E-02	1.48E-02	3.09E-02	0.00E+00
OGG1_0_multinomial_train1.41	1.37E-02	1.62E-58	5.50E-03	1.56E-02	3.19E-02	2.82E-30
OGG1_0_multinomial_train1.42	1.89E-02	2.11E-02	7.05E-03	1.75E-02	3.88E-02	1.48E-02
OGG1_0_multinomial_train1.43	2.21E-02	1.65E-14	1.04E-02	1.62E-02	3.41E-02	7.60E-03
OGG1_0_multinomial_train1.44	1.31E-02	1.66E-18	7.12E-03	1.70E-02	3.50E-02	3.27E-03
OGG1_0_multinomial_train1.45	1.88E-02	4.40E-05	4.52E-03	1.91E-02	3.87E-02	1.51E-02
OGG1_0_multinomial_train1.46	1.86E-02	7.18E-05	9.99E-03	1.67E-02	3.44E-02	2.94E-13
OGG1_0_multinomial_train1.47	1.84E-02	1.28E-02	5.14E-03	1.75E-02	3.89E-02	1.41E-02
OGG1_0_multinomial_train1.48	1.86E-02	1.04E-02	4.52E-03	1.80E-02	3.94E-02	1.44E-02
OGG1_0_multinomial_train1.49	2.09E-02	2.32E-02	9.66E-03	1.90E-02	4.09E-02	1.33E-02
OGG1_0_multinomial_train1.50	1.78E-02	4.50E-03	1.10E-02	1.90E-02	3.90E-02	5.54E-03
OGG1_0_multinomial_train1.51	2.40E-02	1.07E-02	1.10E-02	1.72E-02	3.82E-02	1.23E-02
OGG1_0_multinomial_train1.52	1.76E-02	8.68E-43	8.34E-03	1.76E-02	3.59E-02	1.47E-03
OGG1_0_multinomial_train1.53	1.71E-02	2.25E-41	7.48E-03	1.60E-02	3.32E-02	8.83E-04
OGG1_0_multinomial_train1.54	1.32E-02	4.64E-82	5.63E-03	1.52E-02	3.08E-02	1.84E-106
OGG1_0_multinomial_train1.55	1.76E-02	1.41E-02	6.21E-03	1.70E-02	3.77E-02	1.06E-02
OGG1_0_multinomial_train1.56	1.83E-02	2.46E-02	6.28E-03	1.78E-02	4.01E-02	1.89E-02
OGG1_0_multinomial_train1.57	2.02E-02	3.96E-08	5.15E-03	1.72E-02	3.56E-02	8.23E-03
OGG1_0_multinomial_train1.58	1.72E-02	2.31E-02	6.36E-03	1.84E-02	3.87E-02	1.18E-02
OGG1_0_multinomial_train1.59	1.70E-02	2.05E-02	8.85E-03	1.86E-02	4.10E-02	1.60E-02
OGG1_0_multinomial_train1.60	1.83E-02	1.83E-02	7.35E-03	1.68E-02	3.90E-02	1.33E-02
OGG1_0_multinomial_train1.61	2.21E-02	1.90E-02	1.09E-02	1.82E-02	3.98E-02	1.39E-02
OGG1_0_multinomial_train1.62	1.72E-02	6.82E-24	9.30E-03	1.89E-02	3.77E-02	1.48E-06
OGG1_0_multinomial_train1.63	1.93E-02	1.25E-22	1.20E-02	1.76E-02	3.59E-02	3.44E-38
OGG1_0_multinomial_train1.64	1.83E-02	2.17E-03	8.09E-03	1.90E-02	3.84E-02	8.43E-03
OGG1_0_multinomial_train1.65	1.65E-02	1.75E-02	2.54E-03	1.69E-02	3.92E-02	1.66E-02
OGG1_0_multinomial_train1.66	1.66E-02	6.14E-03	6.25E-03	1.87E-02	3.80E-02	9.00E-03
OGG1_0_multinomial_train1.67	1.82E-02	1.93E-02	6.12E-03	1.75E-02	4.12E-02	2.03E-02
OGG1_0_multinomial_train1.68	1.62E-02	1.05E-02	1.60E-03	1.78E-02	3.90E-02	1.26E-02
OGG1_0_multinomial_train1.69	1.95E-02	1.34E-02	8.35E-03	1.83E-02	3.92E-02	1.10E-02
OGG1_0_multinomial_train1.70	1.84E-02	7.47E-24	1.58E-03	1.63E-02	3.52E-02	1.39E-02
OGG1_0_multinomial_train1.71	1.07E-02	6.73E-03	5.35E-03	1.73E-02	3.71E-02	5.83E-03
OGG1_0_multinomial_train1.72	1.84E-02	6.31E-35	9.31E-03	1.79E-02	3.63E-02	5.70E-03
OGG1_0_multinomial_train1.73	1.84E-02	6.11E-21	1.13E-02	1.78E-02	3.61E-02	4.35E-05
OGG1_0_multinomial_train1.74	1.66E-02	5.48E-03	6.21E-04	1.87E-02	3.77E-02	5.15E-03
OGG1_0_multinomial_train1.75	1.60E-02	2.54E-85	7.10E-03	1.52E-02	3.09E-02	3.37E-61
OGG1_0_multinomial_train1.76	1.78E-02	1.91E-02	4.05E-03	1.95E-02	4.16E-02	1.21E-02
OGG1_0_multinomial_train1.77	1.51E-02	3.11E-43	6.76E-03	1.72E-02	3.50E-02	4.50E-05
OGG1_0_multinomial_train1.78	1.55E-02	1.55E-02	1.98E-03	1.77E-02	3.92E-02	1.11E-02
OGG1_0_multinomial_train1.79	9.65E-03	5.86E-21	2.12E-03	1.63E-02	3.34E-02	2.30E-03
OGG1_0_multinomial_train1.80	1.96E-02	4.24E-37	9.35E-03	1.60E-02	3.36E-02	5.61E-03
OGG1_0_multinomial_train1.81	1.32E-02	1.98E-62	4.30E-03	1.58E-02	3.22E-02	2.09E-27
OGG1_0_multinomial_train1.82	1.45E-02	4.84E-03	1.58E-03	1.75E-02	3.76E-02	9.09E-03
OGG1_0_multinomial_train1.83	2.01E-02	1.42E-02	7.64E-03	1.83E-02	3.92E-02	9.66E-03
OGG1_0_multinomial_train1.84	1.67E-02	1.43E-02	5.45E-03	1.77E-02	3.95E-02	1.50E-02
OGG1_0_multinomial_train1.85	2.00E-02	2.47E-02	6.62E-03	1.90E-02	4.11E-02	1.48E-02
OGG1_0_multinomial_train1.86	1.77E-02	1.99E-08	4.05E-03	1.89E-02	3.85E-02	1.46E-02
OGG1_0_multinomial_train1.87	1.98E-02	2.50E-25	1.01E-02	1.75E-02	3.61E-02	6.76E-03
OGG1_0_multinomial_train1.88	2.09E-02	2.02E-02	1.24E-02	1.83E-02	3.87E-02	1.13E-02
OGG1_0_multinomial_train1.89	1.77E-02	1.64E-02	7.09E-03	1.85E-02	4.04E-02	1.53E-02
OGG1_0_multinomial_train1.90	2.20E-02	5.74E-03	1.10E-02	1.64E-02	3.63E-02	9.52E-03
OGG1_0_multinomial_train1.91	1.92E-02	1.48E-02	1.01E-02	1.86E-02	4.04E-02	1.28E-02
OGG1_0_multinomial_train1.92	1.77E-02	2.05E-02	5.82E-03	1.84E-02	4.01E-02	1.42E-02
OGG1_0_multinomial_train1.93	1.57E-02	5.16E-31	5.25E-03	1.73E-02	3.52E-02	1.01E-03
OGG1_0_multinomial_train1.94	2.15E-02	6.71E-40	9.67E-03	1.71E-02	3.58E-02	9.24E-03
OGG1_0_multinomial_train1.95	1.50E-02	1.86E-03	1.34E-53	1.62E-02	3.47E-02	1.19E-02
OGG1_0_multinomial_train1.96	1.70E-02	5.26E-31	8.96E-03	1.66E-02	3.43E-02	9.77E-04
OGG1_0_multinomial_train1.97	1.58E-02	1.99E-26	9.05E-03	1.72E-02	3.49E-02	2.48E-05
OGG1_0_multinomial_train1.98	1.66E-02	1.35E-02	4.06E-03	1.78E-02	3.96E-02	1.65E-02
RNF168_0_multinomial_train1	4.69E-02	1.42E-01	8.97E-02	8.42E-03	3.71E-02	2.58E-03
RNF168_0_multinomial_train1.1	5.03E-02	1.42E-01	8.96E-02	9.46E-03	3.89E-02	7.36E-03
RNF168_0_multinomial_train1.2	4.46E-02	1.50E-01	9.41E-02	8.30E-03	3.23E-02	1.00E-26
RNF168_0_multinomial_train1.3	4.96E-02	1.54E-01	1.00E-01	4.92E-03	3.82E-02	3.65E-03
RNF168_0_multinomial_train1.4	4.95E-02	1.40E-01	9.14E-02	3.43E-03	3.77E-02	1.86E-02
RNF168_0_multinomial_train1.5	4.98E-02	1.60E-01	1.03E-01	2.52E-03	3.71E-02	3.59E-03
RNF168_0_multinomial_train1.6	4.32E-02	1.43E-01	9.03E-02	9.42E-03	3.48E-02	9.95E-08
RNF168_0_multinomial_train1.7	5.29E-02	1.49E-01	9.63E-02	2.52E-03	3.99E-02	9.94E-27
RNF168_0_multinomial_train1.8	4.83E-02	1.61E-01	1.03E-01	2.86E-03	3.81E-02	1.00E-26
RNF168_0_multinomial_train1.9	5.06E-02	1.51E-01	9.60E-02	4.40E-03	3.74E-02	1.00E-26
RNF168_0_multinomial_train1.10	4.39E-02	1.49E-01	9.59E-02	6.09E-03	3.48E-02	1.05E-02
RNF168_0_multinomial_train1.11	5.36E-02	1.48E-01	9.53E-02	2.99E-03	4.06E-02	1.00E-26
RNF168_0_multinomial_train1.12	4.82E-02	1.48E-01	9.41E-02	5.60E-03	3.83E-02	1.42E-02
RNF168_0_multinomial_train1.13	6.27E-02	1.46E-01	9.64E-02	1.33E-26	4.80E-02	8.28E-03
RNF168_0_multinomial_train1.14	4.89E-02	1.52E-01	9.61E-02	8.93E-03	3.87E-02	3.56E-03
RNF168_0_multinomial_train1.15	4.97E-02	1.40E-01	9.11E-02	1.00E-26	3.68E-02	1.19E-02
RNF168_0_multinomial_train1.16	3.82E-02	1.49E-01	9.28E-02	1.60E-02	3.93E-02	1.50E-03
RNF168_0_multinomial_train1.17	4.51E-02	1.62E-01	1.04E-01	2.16E-03	3.65E-02	9.03E-03
RNF168_0_multinomial_train1.18	5.39E-02	1.42E-01	9.38E-02	1.00E-26	4.00E-02	1.42E-02
RNF168_0_multinomial_train1.19	4.47E-02	1.43E-01	9.04E-02	8.66E-03	3.58E-02	1.38E-02
RNF168_0_multinomial_train1.20	4.81E-02	1.49E-01	9.54E-02	3.67E-03	3.61E-02	7.99E-03
RNF168_0_multinomial_train1.21	5.20E-02	1.45E-01	9.38E-02	1.00E-26	3.87E-02	2.33E-02
RNF168_0_multinomial_train1.22	4.80E-02	1.49E-01	9.61E-02	4.93E-03	3.73E-02	8.63E-03
RNF168_0_multinomial_train1.23	4.14E-02	1.48E-01	9.54E-02	6.25E-03	3.51E-02	8.18E-03
